"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cnyinthedesert.com","FirstLinkDate_cnyinthedesert.com","LastLinkDate_cnyinthedesert.com"
1,"dannydoesvegas.com",2,-1,1,491,7,17715,9443,11/07/2013 00:00,10/08/2013 00:00,"","","","com",9,10,491,11/07/2013 00:00,11/07/2013 00:00
2,"gardenserviceuno.com",13,-1,1,146,113,2904,1286,21/03/2011 00:00,26/07/2012 00:00,"199.59.243.118","199.59.243.0","US","com",5,0,146,21/06/2012 00:00,21/06/2012 00:00
3,"zhangheng.org",89,-1,1,137,1816,21916,13726,21/06/2008 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","org",7,0,137,06/05/2012 00:00,06/05/2012 00:00
4,"lvacc.org",264,-1,1,134,2909,844,560,25/02/2008 00:00,07/08/2013 00:00,"66.147.244.242","66.147.244.0","US","org",21,22,134,10/01/2013 00:00,16/02/2013 00:00
5,"armchairassociation.com",1137,-1,1,33,86508,325176,129364,08/02/2008 00:00,10/08/2013 00:00,"184.168.178.1","184.168.178.0","US","com",20,13,33,04/07/2012 00:00,04/07/2012 00:00
6,"savelv.com",1326,-1,1,31,22080,14588,11423,14/06/2008 00:00,10/08/2013 00:00,"75.101.131.132","75.101.131.0","US","com",19,18,31,21/01/2012 00:00,29/01/2012 00:00
7,"lasvegasrvresort.com",287,-1,1,25,946,6206,5739,13/05/2008 00:00,10/08/2013 00:00,"72.34.254.197","72.34.254.0","US","com",22,21,25,21/01/2013 00:00,21/02/2013 00:00
8,"mlascalawriting.com",17,-1,1,23,150,1877,1537,29/11/2010 00:00,10/08/2013 00:00,"54.235.156.25","54.235.156.0","US","com",10,9,23,18/02/2013 00:00,27/02/2013 00:00
9,"chinese-new-year.net",68,-1,1,23,49295,15974,13586,29/12/2010 00:00,10/08/2013 00:00,"74.220.207.118","74.220.207.0","US","net",17,0,23,25/05/2012 00:00,25/06/2013 00:00
10,"nerdtravel.com",80,-1,1,15,969,2600,2546,20/06/2012 00:00,10/08/2013 00:00,"68.178.232.99","68.178.232.0","US","com",15,34,15,16/06/2013 00:00,16/06/2013 00:00
11,"bajatetumusica.com.ar",947,-1,1,14,125504,233219,33083,23/03/2010 00:00,10/08/2013 00:00,"190.228.29.81","190.228.29.0","AR","ar",29,5,14,04/04/2012 00:00,04/04/2012 00:00
12,"vegasflashes.com",23,-1,1,12,1271,3321,2407,31/05/2011 00:00,10/08/2013 00:00,"173.201.0.1","173.201.0.0","US","com",22,6,12,24/01/2013 00:00,13/02/2013 00:00
13,"travelchannel.com",86937,7956,1,10,22848608,2316718,1004940,09/01/2008 00:00,10/08/2013 00:00,"65.172.31.17","65.172.31.0","US","com",67,69,10,08/02/2013 00:00,12/02/2013 00:00
14,"chinese-years.com",55,-1,1,10,5340,11707,11073,07/11/2011 00:00,10/08/2013 00:00,"74.220.207.118","74.220.207.0","US","com",24,0,10,29/06/2013 00:00,29/06/2013 00:00
15,"vegasviphottiehosting.com",1362,-1,1,9,24453,11416,7378,22/03/2008 00:00,31/07/2013 00:00,"50.116.98.49","50.116.98.0","US","com",16,9,9,08/02/2013 00:00,08/02/2013 00:00
16,"dtlv.com",3926,-1,1,9,332316,48687,27433,09/11/2011 00:00,10/08/2013 00:00,"216.55.185.135","216.55.185.0","US","com",35,33,9,13/02/2013 00:00,19/02/2013 00:00
17,"piratefestlv.com",59,-1,1,8,546,156,103,30/06/2013 00:00,10/08/2013 00:00,"199.34.228.100","199.34.228.0","US","com",19,24,8,12/02/2013 00:00,30/06/2013 00:00
18,"vegas24seven.com",720,-1,1,7,3241,47090,36385,01/04/2008 00:00,10/08/2013 00:00,"208.113.251.72","208.113.251.0","US","com",25,16,7,25/02/2013 00:00,13/03/2013 00:00
19,"vegas.com",52425,12436,1,6,4043670,518880,292455,09/01/2008 00:00,10/08/2013 00:00,"93.184.219.50","93.184.219.0","US","com",58,64,6,08/02/2013 00:00,18/02/2013 00:00
20,"humsa.lt",208,-1,1,6,4190,6102,4765,16/10/2010 00:00,10/08/2013 00:00,"79.98.29.5","79.98.29.0","LT","lt",20,20,6,18/04/2013 00:00,23/07/2013 00:00
21,"vegasbloggers.net",82,-1,1,6,33296,961,823,14/05/2013 00:00,10/08/2013 00:00,"173.254.28.85","173.254.28.0","US","net",18,10,6,14/02/2013 00:00,14/02/2013 00:00
22,"medicalmarijuanalouisiana.net",46,-1,1,6,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,6,21/04/2013 00:00,08/08/2013 00:00
23,"vegasmagazine.com",3217,556383,1,5,360378,12544,9426,18/01/2008 00:00,10/08/2013 00:00,"199.91.169.140","199.91.169.0","US","com",41,44,5,18/01/2013 00:00,18/01/2013 00:00
24,"inlasvegasusa.com",39,-1,1,5,117,128366,76924,27/11/2012 00:00,10/08/2013 00:00,"199.217.117.91","199.217.117.0","US","com",9,0,5,09/04/2013 00:00,09/04/2013 00:00
25,"korabotaiko.com",29,-1,1,5,286,193,126,01/07/2013 00:00,10/08/2013 00:00,"208.113.162.229","208.113.162.0","US","com",13,10,5,13/02/2013 00:00,19/02/2013 00:00
26,"visitlasvegas.com",28062,-1,1,5,1562323,967624,189328,12/01/2008 00:00,15/07/2013 00:00,"173.213.226.186","173.213.226.0","US","com",36,44,5,13/06/2012 00:00,13/06/2012 00:00
27,"vegas4visitors.com",3069,-1,1,5,174309,5687,4210,19/03/2008 00:00,10/08/2013 00:00,"173.201.145.128","173.201.145.0","US","com",29,21,5,23/01/2012 00:00,28/01/2012 00:00
