"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_trademarkcarpet.com","FirstLinkDate_trademarkcarpet.com","LastLinkDate_trademarkcarpet.com"
1,"abortion.ws",465,-1,1,167,39303,181588,49452,27/06/2008 00:00,10/08/2013 00:00,"72.233.2.59","72.233.2.0","US","ws",23,17,167,30/06/2012 00:00,30/06/2012 00:00
2,"a2b.cc",12731,-1,1,31,163439,199163,107109,25/01/2008 00:00,19/02/2013 00:00,"199.101.28.20","199.101.28.0","US","cc",22,17,31,25/01/2012 00:00,25/01/2012 00:00
3,"birectory.com",2954,192269,1,30,372229,2660776,166443,13/10/2011 00:00,10/08/2013 00:00,"176.9.90.237","176.9.90.0","DE","com",23,18,30,25/10/2012 00:00,14/01/2013 00:00
4,"jeromeparadis.com",651,-1,1,30,68302,4390,4043,14/01/2008 00:00,10/08/2013 00:00,"174.142.222.115","174.142.222.0","CA","com",25,33,30,07/07/2010 00:00,07/07/2010 00:00
5,"coppercreekconst.com",303,-1,1,30,2316,318,148,15/06/2008 00:00,27/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",13,11,30,23/08/2011 00:00,15/09/2011 00:00
6,"legendsrevealed.com",3925,-1,1,29,61336,10481,9035,18/06/2009 00:00,10/08/2013 00:00,"72.172.88.177","72.172.88.0","US","com",32,25,29,29/06/2012 00:00,29/06/2012 00:00
7,"yellowhours.com",2838,285602,1,17,199001,4609606,949207,18/06/2009 00:00,10/08/2013 00:00,"50.62.240.1","50.62.240.0","US","com",28,18,17,21/06/2012 00:00,06/08/2012 00:00
8,"egtheatre.com",326,-1,1,13,34480,78933,19846,08/11/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",18,6,13,12/05/2010 00:00,12/05/2010 00:00
9,"gooclip.net",3770,-1,1,12,281001,1551709,37609,26/02/2008 00:00,02/06/2013 00:00,"217.91.86.188","217.91.86.0","DE","net",14,6,12,29/05/2012 00:00,29/05/2012 00:00
10,"vongcong.com",3495,682621,1,11,517053,322250,153540,22/12/2009 00:00,10/08/2013 00:00,"205.234.140.231","205.234.140.0","US","com",47,18,11,22/06/2012 00:00,07/12/2012 00:00
11,"cleanersweb.info",303,-1,1,10,2263,27845,26358,24/10/2010 00:00,10/08/2013 00:00,"72.167.76.82","72.167.76.0","US","info",16,2,10,27/10/2010 00:00,01/11/2012 00:00
12,"yellowpages.com",331984,559,1,8,43366383,90346516,1438715,09/01/2008 00:00,10/08/2013 00:00,"208.93.105.105","208.93.105.0","US","com",58,61,8,08/04/2010 00:00,08/04/2010 00:00
13,"thetraveltart.com",3491,102467,1,8,101287,30883,22787,19/06/2009 00:00,31/07/2013 00:00,"141.101.116.35","141.101.116.0","EU","com",34,19,8,05/03/2011 00:00,07/03/2013 00:00
14,"makeseodirectory.com",852,-1,1,8,31147,21110,15356,13/01/2010 00:00,06/06/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",12,12,8,09/10/2010 00:00,01/11/2010 00:00
15,"myplasticfreelife.com",2736,429647,1,7,438956,29625,22106,01/01/2011 00:00,10/08/2013 00:00,"66.147.244.143","66.147.244.0","US","com",41,31,7,26/01/2011 00:00,04/04/2011 00:00
16,"homeaward.com",569,-1,1,7,18092,53452,27503,15/01/2008 00:00,10/08/2013 00:00,"208.92.166.188","208.92.166.0","US","com",27,41,7,14/07/2012 00:00,28/09/2012 00:00
17,"trs24-7.com",123,-1,1,7,437,35,23,14/10/2010 00:00,25/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",12,2,7,14/10/2010 00:00,14/10/2010 00:00
18,"brownbook.net",47539,12846,1,5,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,5,02/05/2012 00:00,26/06/2012 00:00
19,"139.li",7768,344812,1,5,243489,251207,159431,01/12/2011 00:00,10/08/2013 00:00,"184.168.59.1","184.168.59.0","US","li",39,5,5,24/03/2013 00:00,03/05/2013 00:00
20,"searchsight.com",25557,11562,1,4,1940159,1029931,417058,09/01/2008 00:00,28/07/2013 00:00,"98.124.199.1","98.124.199.0","US","com",33,27,4,15/06/2012 00:00,15/06/2012 00:00
21,"twibs.com",6680,127631,1,4,162450,1605221,750111,18/03/2009 00:00,10/08/2013 00:00,"208.109.14.112","208.109.14.0","US","com",34,25,4,15/04/2012 00:00,09/04/2013 00:00
22,"leapfish.com",15629,631967,1,3,2346097,7981589,508633,14/01/2008 00:00,10/08/2013 00:00,"66.246.235.59","66.246.235.0","US","com",39,29,3,15/04/2009 00:00,15/04/2009 00:00
23,"articlesglobal.com",25232,655046,1,3,1689189,540022,191727,14/10/2010 00:00,10/08/2013 00:00,"184.168.26.1","184.168.26.0","US","com",44,17,3,23/03/2013 00:00,31/03/2013 00:00
24,"articles.org",15552,21646,1,2,500706,631607,166567,01/10/2008 00:00,10/08/2013 00:00,"50.57.174.22","50.57.174.0","US","org",31,17,2,20/05/2012 00:00,20/05/2012 00:00
25,"bluewaterarticles.com",6875,30063,1,2,322595,778163,398729,20/01/2008 00:00,10/08/2013 00:00,"50.63.70.1","50.63.70.0","US","com",37,9,2,26/10/2012 00:00,08/01/2013 00:00
26,"fox5vegas.com",54128,56898,1,2,3615554,7516051,695376,09/01/2008 00:00,10/08/2013 00:00,"184.28.17.219","184.28.17.0","US","com",54,39,2,19/06/2010 00:00,19/06/2010 00:00
27,"rxsavingsblog.com",23654,197727,1,2,1331523,439770,175433,19/06/2012 00:00,11/07/2013 00:00,"216.139.211.23","216.139.211.0","US","com",40,9,2,24/03/2013 00:00,24/03/2013 00:00
28,"digg3.com",6980,224412,1,2,721858,1596850,593510,11/10/2008 00:00,10/08/2013 00:00,"174.121.82.195","174.121.82.0","US","com",37,10,2,19/05/2013 00:00,19/05/2013 00:00
29,"greatarticlesite.com",7799,334554,1,2,332265,922379,249268,07/08/2008 00:00,10/08/2013 00:00,"205.204.72.195","205.204.72.0","CA","com",39,9,2,10/03/2013 00:00,12/07/2013 00:00
30,"i-dio.com",1562,484496,1,2,27981,379867,242275,18/11/2009 00:00,10/08/2013 00:00,"174.120.155.62","174.120.155.0","US","com",16,11,2,08/03/2010 00:00,08/03/2010 00:00
31,"articleblade.com",5305,775856,1,2,170414,238983,57635,06/04/2011 00:00,05/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",22,6,2,13/06/2012 00:00,13/06/2012 00:00
