"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_homeairlv.com","FirstLinkDate_homeairlv.com","LastLinkDate_homeairlv.com"
1,"jmellographics.com",25,-1,1,6209,846,15657,8741,25/02/2010 00:00,16/07/2013 00:00,"66.147.240.152","66.147.240.0","US","com",4,0,6209,08/10/2010 00:00,26/10/2010 00:00
2,"wbaforum.co.uk",4657,-1,1,382,23796,60672,20056,04/01/2009 00:00,09/08/2013 00:00,"91.102.64.147","91.102.64.0","UK","uk",16,2,382,26/05/2011 00:00,20/07/2012 00:00
3,"chiisai.org",207,-1,1,208,10060,94028,42581,31/01/2009 00:00,10/08/2013 00:00,"46.30.211.54","46.30.211.0","DK","org",16,4,208,14/05/2012 00:00,14/05/2012 00:00
4,"vrgdt.se",209,-1,1,201,1586,50283,22114,27/12/2009 00:00,08/08/2013 00:00,"46.30.211.51","46.30.211.0","DK","se",18,9,201,13/04/2012 00:00,13/04/2012 00:00
5,"booshben.com",244,-1,1,155,9953,79771,60736,21/06/2012 00:00,10/08/2013 00:00,"66.147.244.182","66.147.244.0","US","com",12,8,155,12/01/2013 00:00,21/02/2013 00:00
6,"estfra.ee",4020,-1,1,135,17172,62336,56448,10/04/2008 00:00,10/08/2013 00:00,"193.40.0.70","193.40.0.0","EE","ee",20,26,135,06/11/2011 00:00,29/07/2013 00:00
7,"joshcopeland.com",92,-1,1,126,491,2088,827,28/04/2011 00:00,09/08/2013 00:00,"74.50.25.165","74.50.25.0","US","com",6,0,126,21/11/2011 00:00,21/11/2011 00:00
8,"tooclothesminded.com",332,-1,1,125,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,125,25/08/2012 00:00,11/07/2013 00:00
9,"chelseamania.ru",17111,-1,1,120,406929,15164857,1007415,11/08/2008 00:00,10/08/2013 00:00,"37.200.67.6","37.200.67.0","RU","ru",20,9,120,22/04/2011 00:00,14/06/2011 00:00
10,"emzorpharma.com",842,-1,1,108,5531,298831,98901,16/02/2008 00:00,10/08/2013 00:00,"50.62.130.135","50.62.130.0","US","com",24,11,108,26/11/2011 00:00,26/11/2011 00:00
11,"party-zone.pl",4285,-1,1,72,40355,64498,30006,19/12/2008 00:00,20/10/2012 00:00,"67.215.66.132","67.215.66.0","US","pl",15,1,72,29/05/2011 00:00,08/10/2011 00:00
12,"swapnilghosh.tk",18,-1,1,71,162,507,387,04/11/2010 00:00,29/02/2012 00:00,"209.190.85.24","209.190.85.0","US","tk",6,0,71,23/11/2011 00:00,23/11/2011 00:00
13,"monitorkowy.pl",3971,-1,1,70,109866,3485329,739288,29/03/2009 00:00,10/08/2013 00:00,"91.121.219.100","91.121.219.0","BE","pl",20,5,70,25/07/2011 00:00,25/07/2011 00:00
14,"nerdstickers.net",1123,-1,1,64,38429,66343,19515,30/09/2010 00:00,11/02/2013 00:00,"208.87.34.15","208.87.34.0","BS","net",10,9,64,17/11/2011 00:00,17/11/2011 00:00
15,"zergipio.cl",34829,-1,1,60,376223,283959,74985,27/06/2008 00:00,10/08/2013 00:00,"184.107.202.162","184.107.202.0","CA","cl",47,11,60,05/05/2011 00:00,22/11/2011 00:00
16,"canadaimmigrationlaw.net",12585,-1,1,56,83533,136858,100012,22/01/2008 00:00,10/08/2013 00:00,"173.0.133.241","173.0.133.0","US","net",31,30,56,08/06/2011 00:00,11/05/2013 00:00
17,"gaming-hq.net",5388,-1,1,53,21026,15384,5938,20/08/2010 00:00,10/08/2013 00:00,"50.63.202.52","50.63.202.0","US","net",16,2,53,31/05/2011 00:00,05/12/2011 00:00
18,"ech24.org",71,-1,1,52,349,62721,48886,23/02/2013 00:00,10/08/2013 00:00,"66.96.147.104","66.96.147.0","US","org",13,1,52,11/06/2013 00:00,19/06/2013 00:00
19,"3xgamer.com",673,-1,1,52,2542,279465,116969,06/10/2009 00:00,10/08/2013 00:00,"208.109.78.142","208.109.78.0","US","com",14,6,52,07/12/2011 00:00,07/12/2011 00:00
20,"sharepointjungle.com",201,-1,1,51,1597,75832,55678,11/06/2011 00:00,10/08/2013 00:00,"173.201.97.1","173.201.97.0","US","com",13,1,51,25/03/2013 00:00,25/03/2013 00:00
21,"netry.jp",26995,-1,1,46,540037,995055,480325,23/02/2008 00:00,07/08/2013 00:00,"202.228.192.196","202.228.192.0","JP","jp",36,14,46,13/05/2013 00:00,13/05/2013 00:00
22,"gothclublist.com",5735,-1,1,42,118799,49017,35597,08/04/2009 00:00,10/08/2013 00:00,"216.97.237.25","216.97.237.0","US","com",41,14,42,15/06/2011 00:00,11/03/2013 00:00
23,"ubieepill.com",28320,-1,1,42,672805,305599,99361,18/01/2008 00:00,10/08/2013 00:00,"78.47.0.34","78.47.0.0","DE","com",34,13,42,24/05/2011 00:00,05/11/2011 00:00
24,"m2on.com",37,-1,1,41,489,9986,9480,30/06/2013 00:00,10/08/2013 00:00,"69.89.25.170","69.89.25.0","US","com",10,0,41,10/07/2013 00:00,10/07/2013 00:00
