"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_shaarei-tefilla.org","FirstLinkDate_shaarei-tefilla.org","LastLinkDate_shaarei-tefilla.org"
1,"jewishlasvegas.com",1382,-1,1,65,16367,32887,27801,18/01/2008 00:00,10/08/2013 00:00,"198.65.148.149","198.65.148.0","US","com",22,21,65,16/03/2008 00:00,16/03/2008 00:00
2,"pluralism.org",14445,793322,1,46,253014,437709,297128,21/01/2008 00:00,10/08/2013 00:00,"50.19.126.239","50.19.126.0","US","org",43,48,46,07/12/2012 00:00,10/12/2012 00:00
3,"ujcfedweb.org",5179,-1,1,15,592896,380914,275315,25/01/2008 00:00,10/08/2013 00:00,"198.65.148.149","198.65.148.0","US","org",37,23,15,11/04/2009 00:00,11/04/2009 00:00
4,"lonelymanoffaith.com",129,-1,1,14,451,214,150,12/11/2010 00:00,10/08/2013 00:00,"67.195.61.65","67.195.61.0","US","com",18,15,14,20/03/2011 00:00,29/09/2012 00:00
5,"mavensearch.com",6463,-1,1,12,117277,99228,73016,09/01/2008 00:00,10/08/2013 00:00,"12.47.45.135","12.47.45.0","US","com",35,33,12,01/02/2008 00:00,27/02/2008 00:00
6,"maven.co.il",7290,144600,1,11,105867,112756,74663,24/01/2008 00:00,10/08/2013 00:00,"12.47.45.135","12.47.45.0","US","il",40,55,11,24/09/2009 00:00,06/10/2009 00:00
7,"jewishinlasvegas.com",93,-1,1,9,33033,6534,6344,21/12/2008 00:00,10/08/2013 00:00,"108.162.197.47","108.162.197.0","US","com",14,7,9,04/07/2009 00:00,04/07/2009 00:00
8,"godaven.com",4466,-1,1,7,985446,62285,49435,26/01/2008 00:00,10/08/2013 00:00,"50.21.183.89","50.21.183.0","US","com",32,31,7,19/09/2008 00:00,19/09/2008 00:00
9,"lasvegasokay.com",856,-1,1,7,1311043,17411,15123,17/10/2008 00:00,10/08/2013 00:00,"70.34.194.200","70.34.194.0","US","com",22,7,7,18/11/2008 00:00,18/11/2008 00:00
10,"dtlv.com",3926,-1,1,6,332316,48687,27433,09/11/2011 00:00,10/08/2013 00:00,"216.55.185.135","216.55.185.0","US","com",35,33,6,30/04/2013 00:00,30/06/2013 00:00
11,"oogiah.com",19,-1,1,5,9351,113,112,30/06/2013 00:00,10/08/2013 00:00,"199.34.228.100","199.34.228.0","US","com",18,12,5,21/02/2013 00:00,30/06/2013 00:00
12,"kosherdelight.com",8863,356595,1,4,95516,30317,21399,10/01/2008 00:00,10/08/2013 00:00,"209.217.224.228","209.217.224.0","US","com",39,28,4,02/02/2008 00:00,08/04/2013 00:00
13,"jewishtraveladvisor.com",1992,594118,1,4,65503,42586,40246,23/05/2008 00:00,10/08/2013 00:00,"67.222.35.51","67.222.35.0","US","com",28,16,4,11/10/2008 00:00,11/10/2008 00:00
14,"jewishweb.com",1123,-1,1,4,34106,162145,95798,10/01/2008 00:00,10/08/2013 00:00,"174.123.63.242","174.123.63.0","US","com",25,22,4,14/05/2012 00:00,07/07/2013 00:00
15,"lvrelocationguide.org",939,-1,1,4,4588,8744,7593,04/07/2008 00:00,10/08/2013 00:00,"107.21.214.180","107.21.214.0","US","org",21,23,4,02/08/2010 00:00,17/01/2013 00:00
16,"walk2shul.com",383,-1,1,4,7271,75319,62547,23/01/2008 00:00,31/07/2013 00:00,"108.179.194.80","108.179.194.0","US","com",11,12,4,06/07/2008 00:00,16/03/2012 00:00
17,"likeme.net",12682,-1,1,4,8717790,4681186,1674365,02/10/2008 00:00,10/08/2013 00:00,"75.127.15.119","75.127.15.0","US","net",34,21,4,02/09/2010 00:00,02/09/2010 00:00
18,"kosherwoman.com",54,-1,1,4,363,2050,1640,03/03/2013 00:00,10/08/2013 00:00,"66.175.58.9","66.175.58.0","US","com",17,7,4,04/03/2013 00:00,02/07/2013 00:00
19,"tesco.net",47884,106146,1,3,7190538,13306828,1329747,13/01/2008 00:00,10/08/2013 00:00,"212.140.185.250","212.140.185.0","UK","net",43,40,3,01/03/2010 00:00,01/03/2010 00:00
20,"desertspace.org",287,-1,1,3,2925,360,249,06/07/2008 00:00,08/08/2013 00:00,"50.63.119.1","50.63.119.0","US","org",21,18,3,08/05/2009 00:00,03/11/2009 00:00
21,"mikvahminder.com",557,-1,1,3,29254,10643,8971,29/05/2009 00:00,10/08/2013 00:00,"207.7.81.104","207.7.81.0","US","com",23,17,3,17/12/2009 00:00,24/02/2013 00:00
22,"yellowpages.com",331984,559,1,2,43366383,90346516,1438715,09/01/2008 00:00,10/08/2013 00:00,"208.93.105.105","208.93.105.0","US","com",58,61,2,27/06/2010 00:00,27/06/2010 00:00
23,"ou.org",32798,143337,1,2,7659391,433885,225746,21/01/2008 00:00,10/08/2013 00:00,"184.106.69.243","184.106.69.0","US","org",54,54,2,20/04/2008 00:00,09/11/2011 00:00
24,"regionaldirectory.us",1315,143963,1,2,81734,5731482,291413,14/05/2009 00:00,10/08/2013 00:00,"206.130.125.28","206.130.125.0","US","us",41,27,2,10/11/2009 00:00,10/11/2009 00:00
25,"alljewishlinks.com",7878,827076,1,2,196949,899751,549285,04/10/2009 00:00,10/08/2013 00:00,"198.154.245.19","198.154.245.0","US","com",37,20,2,14/01/2010 00:00,14/01/2010 00:00
26,"godaven.org",60,-1,1,2,1108,3087,2561,26/01/2008 00:00,07/07/2011 00:00,"74.208.105.60","74.208.105.0","US","org",6,7,2,05/07/2008 00:00,05/07/2008 00:00
27,"jlifeguides.com",259,-1,1,2,931,598952,138415,21/06/2012 00:00,10/08/2013 00:00,"66.147.244.86","66.147.244.0","US","com",14,14,2,13/03/2013 00:00,03/05/2013 00:00
28,"torahconferencing.net",57,-1,1,2,339,102,94,27/01/2008 00:00,04/08/2013 00:00,"74.208.56.98","74.208.56.0","US","net",14,10,2,14/04/2008 00:00,16/07/2013 00:00
29,"worshipinlasvegas.com",37,-1,1,2,47,210,210,30/06/2013 00:00,09/08/2013 00:00,"66.186.201.19","66.186.201.0","US","com",11,4,2,18/02/2011 00:00,06/07/2013 00:00
30,"koshertravelinfo.com",1769,-1,1,2,22683,53484,24481,18/01/2008 00:00,31/07/2013 00:00,"216.172.172.120","216.172.172.0","US","com",15,13,2,22/07/2008 00:00,22/07/2008 00:00
31,"jewishvegas.net",10,-1,1,2,12,5973,1128,05/06/2013 00:00,24/07/2013 00:00,"74.208.92.214","74.208.92.0","US","net",0,0,2,19/01/2009 00:00,30/08/2012 00:00
32,"ouwestcoast.org",385,-1,1,2,211141,649180,508895,18/02/2008 00:00,10/08/2013 00:00,"210.252.61.130","210.252.61.0","JP","org",18,33,2,25/01/2008 00:00,02/05/2012 00:00
