"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_ridpropestcontrol.com","FirstLinkDate_ridpropestcontrol.com","LastLinkDate_ridpropestcontrol.com"
1,"m2on.com",37,-1,1,82,489,9986,9480,30/06/2013 00:00,10/08/2013 00:00,"69.89.25.170","69.89.25.0","US","com",10,0,82,02/03/2013 00:00,18/07/2013 00:00
2,"tigrik.com",20052,-1,1,11,1032947,437833,225438,01/10/2009 00:00,09/04/2013 00:00,"64.74.223.47","64.74.223.0","US","com",16,2,11,18/08/2012 00:00,18/08/2012 00:00
3,"crowdsavings.com",1770,76564,1,8,6553948,422191,234835,03/06/2010 00:00,10/08/2013 00:00,"199.168.173.206","199.168.173.0","US","com",49,31,8,12/11/2011 00:00,17/01/2012 00:00
4,"medicalmarijuanalouisiana.net",46,-1,1,8,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,8,23/02/2013 00:00,02/08/2013 00:00
5,"praxishomepage.de",600,-1,1,7,6681,20800,14226,20/01/2008 00:00,10/08/2013 00:00,"85.236.48.180","85.236.48.0","DE","de",25,19,7,03/07/2012 00:00,22/07/2013 00:00
6,"craftrobo.se",4940,-1,1,4,30923,141230,53242,18/02/2008 00:00,10/08/2013 00:00,"195.47.247.250","195.47.247.0","DK","se",33,4,4,18/05/2013 00:00,20/05/2013 00:00
7,"wildhogs.se",130,-1,1,4,23864,2225,1793,15/06/2012 00:00,10/08/2013 00:00,"46.30.211.53","46.30.211.0","DK","se",21,2,4,26/02/2013 00:00,18/07/2013 00:00
8,"medicalmarijuanamississippi.org",63,-1,1,4,518,4119,3715,04/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",15,0,4,01/08/2013 00:00,06/08/2013 00:00
9,"medicalmarijuanavirginia.net",49,-1,1,4,514,3954,3692,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,4,17/04/2013 00:00,25/07/2013 00:00
10,"thestatedtruth.com",11307,837392,1,3,225358,75558,53300,02/01/2010 00:00,10/08/2013 00:00,"184.168.58.1","184.168.58.0","US","com",45,5,3,01/06/2012 00:00,30/08/2012 00:00
11,"medicalmarijuanamississippi.net",114,-1,1,3,1240,6069,5018,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",20,0,3,23/04/2013 00:00,27/07/2013 00:00
12,"eforumz.net",17467,-1,1,3,308043,211151,90200,15/08/2010 00:00,10/08/2013 00:00,"46.252.207.1","46.252.207.0","NL","net",34,4,3,05/05/2013 00:00,05/05/2013 00:00
13,"medicalmarijuananebraska.net",140,-1,1,3,1231,5395,4821,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",22,2,3,28/04/2013 00:00,26/07/2013 00:00
14,"medicalmarijuanatennessee.net",382,-1,1,3,12038,4675,3941,06/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",26,2,3,12/03/2013 00:00,08/08/2013 00:00
15,"medicalmarijuanatexas.net",72,-1,1,3,508,4443,3930,24/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",16,2,3,31/07/2013 00:00,01/08/2013 00:00
16,"medicalmarijuananorthcarolina.org",75,-1,1,3,275,3915,3635,17/07/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",16,0,3,12/07/2013 00:00,12/07/2013 00:00
