"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_rmi25.com","FirstLinkDate_rmi25.com","LastLinkDate_rmi25.com"
1,"bobistheoilguy.com",10690,48155,1,40,408431,4655216,939166,16/01/2008 00:00,10/08/2013 00:00,"205.243.146.146","205.243.146.0","US","com",42,27,40,19/03/2013 00:00,19/03/2013 00:00
2,"gbodyforum.com",2821,254272,1,18,57450,1243660,483165,10/09/2009 00:00,10/08/2013 00:00,"173.208.229.163","173.208.229.0","US","com",23,10,18,14/06/2012 00:00,14/06/2012 00:00
3,"gnttype.org",5278,-1,1,10,99439,457496,137824,25/01/2008 00:00,10/08/2013 00:00,"65.99.207.66","65.99.207.0","US","org",36,22,10,22/05/2013 00:00,22/05/2013 00:00
4,"sema.org",23514,222514,1,8,15427889,384632,209421,18/04/2008 00:00,10/08/2013 00:00,"70.182.196.123","70.182.196.0","US","org",58,65,8,14/09/2012 00:00,03/04/2013 00:00
5,"nnra.us",23,-1,1,7,53,2003,669,21/06/2009 00:00,28/07/2013 00:00,"50.63.202.79","50.63.202.0","US","us",6,4,7,06/07/2011 00:00,10/01/2012 00:00
6,"semashow.com",17057,469030,1,6,2151068,363150,155566,01/02/2008 00:00,10/08/2013 00:00,"70.182.196.123","70.182.196.0","US","com",46,46,6,12/02/2013 00:00,29/03/2013 00:00
7,"toyotanation.com",14023,41370,1,5,43063116,10408473,1679332,09/01/2008 00:00,10/08/2013 00:00,"208.43.63.71","208.43.63.0","US","com",36,36,5,09/06/2013 00:00,09/06/2013 00:00
8,"lincolnvscadillac.com",14119,348317,1,4,698146,4861661,798165,09/01/2008 00:00,10/08/2013 00:00,"129.121.186.187","129.121.186.0","US","com",31,31,4,07/08/2012 00:00,07/08/2012 00:00
9,"69roadrunner.net",126,-1,1,3,3131,57873,48534,04/01/2009 00:00,10/08/2013 00:00,"72.249.46.38","72.249.46.0","US","net",17,19,3,13/02/2013 00:00,02/07/2013 00:00
10,"patrol4x4.com",6031,630981,1,2,110167,2584909,589616,12/01/2008 00:00,10/08/2013 00:00,"67.228.34.179","67.228.34.0","US","com",30,18,2,04/05/2013 00:00,04/05/2013 00:00
11,"rmi-25.com",1,-1,1,2,2,2,2,04/08/2013 00:00,,"174.122.114.254","174.122.114.0","US","com",0,0,2,08/04/2011 00:00,24/07/2013 00:00
12,"flatlandersrodrun.com",36,-1,1,2,337,16,15,30/06/2013 00:00,10/08/2013 00:00,"72.52.4.95","72.52.4.0","US","com",10,6,2,12/10/2012 00:00,15/07/2013 00:00
13,"dragtimenews.com",247,-1,1,2,4114,1401,1300,24/08/2009 00:00,10/08/2013 00:00,"69.73.172.221","69.73.172.0","US","com",23,27,2,10/03/2013 00:00,09/07/2013 00:00
14,"s10extremist.org",959,-1,1,2,13246,130360,84807,26/01/2008 00:00,10/08/2013 00:00,"67.131.250.102","67.131.250.0","US","org",25,8,2,05/07/2013 00:00,05/07/2013 00:00
15,"nnrace.com",0,-1,1,2,0,66,21,16/07/2013 00:00,09/08/2013 00:00,"","","","com",0,0,2,25/04/2013 00:00,25/04/2013 00:00
16,"sitetrail.com",30286,18190,1,1,2800181,12812503,877273,08/04/2010 00:00,10/08/2013 00:00,"107.20.194.239","107.20.194.0","US","com",54,33,1,18/12/2012 00:00,18/12/2012 00:00
17,"powerstroke.org",5146,142192,1,1,43390828,5387920,1055800,21/01/2008 00:00,10/08/2013 00:00,"208.43.63.69","208.43.63.0","US","org",35,37,1,22/03/2012 00:00,22/03/2012 00:00
18,"speedtalk.com",2442,310792,1,1,110332,972598,561153,10/01/2008 00:00,10/08/2013 00:00,"74.53.83.50","74.53.83.0","US","com",35,26,1,24/06/2013 00:00,24/06/2013 00:00
19,"rcomdots.com",35,-1,1,1,11947,526,525,20/01/2013 00:00,,"113.10.174.231","113.10.174.0","HK","com",4,0,1,07/02/2008 00:00,07/02/2008 00:00
20,"edcomp.com",2094,-1,1,1,76590,1092406,182125,09/01/2008 00:00,30/07/2013 00:00,"69.64.82.148","69.64.82.0","US","com",20,18,1,05/11/2011 00:00,02/05/2012 00:00
21,"yogalsearch.com",778,-1,1,1,797575,1011408,85775,26/05/2010 00:00,24/08/2012 00:00,"64.74.223.37","64.74.223.0","US","com",16,5,1,30/11/2011 00:00,26/06/2012 00:00
22,"racersagainststreetracing.net",1,-1,1,1,8,89300,89299,24/10/2010 00:00,10/08/2013 00:00,"70.182.196.123","70.182.196.0","US","net",0,0,1,29/09/2012 00:00,29/09/2012 00:00
