"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_househuntinginlasvegas.com","FirstLinkDate_househuntinginlasvegas.com","LastLinkDate_househuntinginlasvegas.com"
1,"bilatergigithalia.com",345,-1,1,6129,56148,65749,39656,11/10/2011 00:00,07/03/2013 00:00,"173.249.151.182","173.249.151.0","US","com",11,2,6129,24/11/2011 00:00,24/11/2011 00:00
2,"jamespolnick.com",818,-1,1,4459,5624,221146,122302,12/02/2011 00:00,10/08/2013 00:00,"97.74.215.78","97.74.215.0","US","com",19,4,4459,29/11/2011 00:00,14/08/2012 00:00
3,"pulausumbawanews.com",124,-1,1,1473,3974,35913,27594,12/12/2011 00:00,10/08/2013 00:00,"68.233.241.129","68.233.241.0","US","com",25,1,1473,23/10/2012 00:00,22/12/2012 00:00
4,"thefuturephone.com",125,-1,1,447,183,1603,1208,13/12/2011 00:00,25/12/2012 00:00,"184.168.221.88","184.168.221.0","US","com",7,4,447,01/12/2011 00:00,01/12/2011 00:00
5,"ilmoralista.it",200,848845,1,353,20807,14704,8456,16/10/2011 00:00,10/08/2013 00:00,"62.149.142.77","62.149.142.0","IT","it",32,15,353,24/11/2011 00:00,25/11/2011 00:00
6,"mlmbadboy.com",88,-1,1,308,362,53348,27611,18/05/2011 00:00,10/02/2013 00:00,"184.168.221.92","184.168.221.0","US","com",6,0,308,21/11/2011 00:00,21/11/2011 00:00
7,"howtoplayinstruments.com",1213,-1,1,290,6787,132615,95069,20/06/2012 00:00,10/08/2013 00:00,"50.21.182.75","50.21.182.0","US","com",16,2,290,11/01/2013 00:00,28/02/2013 00:00
8,"plusmodels.com",17837,-1,1,288,312115,146454,99820,12/01/2008 00:00,10/08/2013 00:00,"192.96.211.66","192.96.211.0","US","com",32,13,288,21/11/2011 00:00,25/11/2011 00:00
9,"footballworldholic.info",293,-1,1,230,6315,223082,59811,03/05/2011 00:00,21/07/2013 00:00,"176.74.176.167","176.74.176.0","UK","info",8,0,230,26/11/2011 00:00,21/12/2011 00:00
10,"tooclothesminded.com",332,-1,1,176,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,176,03/06/2012 00:00,28/05/2013 00:00
11,"emzorpharma.com",842,-1,1,158,5531,298831,98901,16/02/2008 00:00,10/08/2013 00:00,"50.62.130.135","50.62.130.0","US","com",24,11,158,26/11/2011 00:00,26/11/2011 00:00
12,"zhangheng.org",89,-1,1,149,1816,21916,13726,21/06/2008 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","org",7,0,149,01/07/2012 00:00,10/07/2012 00:00
13,"joshcopeland.com",92,-1,1,144,491,2088,827,28/04/2011 00:00,09/08/2013 00:00,"74.50.25.165","74.50.25.0","US","com",6,0,144,21/11/2011 00:00,21/11/2011 00:00
14,"want2blog.net",5195,434269,1,117,167541,122036,77172,13/09/2010 00:00,10/08/2013 00:00,"85.214.225.100","85.214.225.0","DE","net",36,16,117,03/12/2011 00:00,03/12/2011 00:00
15,"versionhunter.com",1369,-1,1,107,21028,95732,49300,31/03/2010 00:00,10/08/2013 00:00,"67.222.42.47","67.222.42.0","US","com",31,9,107,24/11/2011 00:00,24/11/2011 00:00
16,"publicsocialbookmark.com",4723,-1,1,93,134618,1671707,414094,26/07/2009 00:00,09/08/2013 00:00,"208.91.197.134","208.91.197.0","UK","com",29,3,93,07/11/2011 00:00,07/11/2011 00:00
17,"iamsupergorge.com",2357,471930,1,90,50111,199115,88690,07/04/2011 00:00,10/08/2013 00:00,"72.167.1.1","72.167.1.0","US","com",38,11,90,15/12/2011 00:00,15/12/2011 00:00
18,"easylink.gr",1045,899069,1,88,57169,27575,26279,04/11/2011 00:00,10/08/2013 00:00,"46.226.194.12","46.226.194.0","GR","gr",30,3,88,14/11/2011 00:00,17/11/2011 00:00
19,"jas-khanna.com",381,-1,1,83,15213,3428,2576,27/10/2010 00:00,26/07/2013 00:00,"174.121.188.5","174.121.188.0","US","com",11,0,83,22/11/2011 00:00,22/11/2011 00:00
20,"swapnilghosh.tk",18,-1,1,69,162,507,387,04/11/2010 00:00,29/02/2012 00:00,"209.190.85.24","209.190.85.0","US","tk",6,0,69,23/11/2011 00:00,23/11/2011 00:00
21,"itouchreviews.com",119,-1,1,68,375,14509,4740,27/10/2010 00:00,10/08/2013 00:00,"50.16.190.132","50.16.190.0","US","com",14,4,68,21/11/2011 00:00,21/11/2011 00:00
22,"pramsite.com",399,-1,1,59,2178,1517,805,04/09/2008 00:00,25/03/2013 00:00,"184.173.212.188","184.173.212.0","US","com",10,0,59,06/12/2011 00:00,06/12/2011 00:00
23,"rf.ro",832,-1,1,55,8373,20369,11307,11/10/2010 00:00,10/08/2013 00:00,"93.113.193.13","93.113.193.0","RO","ro",21,4,55,22/11/2011 00:00,06/12/2011 00:00
24,"3xgamer.com",673,-1,1,51,2542,279465,116969,06/10/2009 00:00,10/08/2013 00:00,"208.109.78.142","208.109.78.0","US","com",14,6,51,19/12/2011 00:00,11/05/2013 00:00
25,"sharepointjungle.com",201,-1,1,51,1597,75832,55678,11/06/2011 00:00,10/08/2013 00:00,"173.201.97.1","173.201.97.0","US","com",13,1,51,25/03/2013 00:00,25/03/2013 00:00
26,"alfredho.org",313,-1,1,50,1275,1445,1362,06/05/2011 00:00,27/07/2013 00:00,"50.22.80.7","50.22.80.0","US","org",24,0,50,02/01/2012 00:00,22/02/2013 00:00
27,"howardfrenia.com",101,-1,1,49,742,1691,1658,19/06/2012 00:00,30/07/2013 00:00,"184.172.150.20","184.172.150.0","US","com",14,1,49,25/02/2013 00:00,16/07/2013 00:00
28,"usfaddicts.net",331,-1,1,48,7200,17334,7462,20/11/2010 00:00,10/08/2013 00:00,"74.86.182.35","74.86.182.0","US","net",25,5,48,02/03/2012 00:00,18/04/2012 00:00
29,"hotelsfl.org",542,-1,1,45,2754,22924,18317,22/10/2010 00:00,17/05/2013 00:00,"216.172.186.112","216.172.186.0","US","org",10,2,45,21/11/2011 00:00,18/12/2011 00:00
30,"akolob.com",81,-1,1,45,430,416,250,30/11/2009 00:00,27/01/2013 00:00,"49.50.249.50","49.50.249.0","NZ","com",7,1,45,22/11/2011 00:00,22/11/2011 00:00
31,"farmvillepost.com",866,-1,1,45,4266,37321,11331,05/10/2010 00:00,23/07/2013 00:00,"67.215.66.132","67.215.66.0","US","com",16,3,45,22/11/2011 00:00,22/11/2011 00:00
32,"budgetbusinessservices.com",360,-1,1,41,2101,25482,21148,14/01/2013 00:00,10/08/2013 00:00,"184.170.144.73","184.170.144.0","US","com",18,4,41,28/02/2013 00:00,02/03/2013 00:00
33,"m2on.com",37,-1,1,41,489,9986,9480,30/06/2013 00:00,10/08/2013 00:00,"69.89.25.170","69.89.25.0","US","com",10,0,41,02/08/2013 00:00,02/08/2013 00:00
34,"joie.ro",110,-1,1,41,5632,4518,2003,18/09/2010 00:00,11/01/2012 00:00,"67.215.77.132","67.215.77.0","US","ro",9,7,41,21/11/2011 00:00,25/11/2011 00:00
35,"affiliatemakemoney.com",455,-1,1,40,3502,46214,23146,10/01/2008 00:00,09/08/2013 00:00,"74.52.151.18","74.52.151.0","US","com",13,2,40,25/11/2011 00:00,18/01/2012 00:00
36,"newestinfo.info",167,-1,1,39,1803,35114,20993,01/04/2011 00:00,01/04/2013 00:00,"50.63.202.81","50.63.202.0","US","info",8,0,39,22/11/2011 00:00,26/11/2011 00:00
37,"powerscript.net",23,-1,1,37,3003,2192,1611,21/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",8,1,37,27/11/2011 00:00,09/01/2012 00:00
38,"myweightlosssolution.com",861,-1,1,37,12119,10176,9384,11/05/2008 00:00,04/06/2013 00:00,"174.120.200.163","174.120.200.0","US","com",12,1,37,29/08/2012 00:00,14/03/2013 00:00
39,"gnn.com.ng",1473,-1,1,34,29827,271524,167086,22/03/2010 00:00,14/11/2012 00:00,"173.201.92.1","173.201.92.0","US","ng",11,8,34,22/11/2011 00:00,22/11/2011 00:00
40,"greenindonesia.net",416,-1,1,33,2940,452,349,26/07/2008 00:00,08/08/2013 00:00,"69.163.192.6","69.163.192.0","US","net",14,3,33,04/12/2011 00:00,04/12/2011 00:00
41,"ntct.edu.tw",66767,155862,1,32,3941588,4390421,739703,24/01/2008 00:00,10/08/2013 00:00,"163.22.168.116","163.22.168.0","TW","tw",34,36,32,22/11/2011 00:00,11/01/2012 00:00
42,"wellnesspacificcoast.com",215,-1,1,31,3255,2639,2173,01/06/2010 00:00,10/01/2013 00:00,"66.147.242.166","66.147.242.0","US","com",8,1,31,22/11/2011 00:00,07/12/2011 00:00
43,"adultchatbbs.com",720,-1,1,30,80374,86305,55987,21/12/2011 00:00,10/08/2013 00:00,"108.170.23.218","108.170.23.0","US","com",9,4,30,24/02/2013 00:00,26/05/2013 00:00
44,"birdparadise.tk",476,-1,1,30,10752,70819,10591,11/12/2010 00:00,10/08/2013 00:00,"93.170.52.31","93.170.52.0","CZ","tk",9,2,30,22/11/2011 00:00,22/11/2011 00:00
45,"itsadirectory.com",444,-1,1,29,20573,6568,2977,25/05/2008 00:00,17/12/2012 00:00,"208.73.211.152","208.73.211.0","US","com",8,5,29,21/11/2011 00:00,21/11/2011 00:00
46,"linkbags.info",1665,-1,1,28,27743,5957,3825,13/04/2011 00:00,10/08/2013 00:00,"66.219.24.82","66.219.24.0","US","info",25,10,28,22/11/2011 00:00,26/11/2011 00:00
47,"jurekozuh.org",843,-1,1,27,15757,7337,4263,24/06/2008 00:00,13/09/2012 00:00,"67.215.66.132","67.215.66.0","US","org",8,5,27,05/12/2011 00:00,12/12/2011 00:00
48,"brianleamon.com",57,-1,1,26,4053,3347,3199,22/12/2012 00:00,10/08/2013 00:00,"184.170.147.18","184.170.147.0","US","com",13,1,26,05/11/2012 00:00,01/07/2013 00:00
49,"thebowlingspot.com",1174,-1,1,26,3279,7714,6061,07/06/2010 00:00,31/07/2013 00:00,"184.172.141.216","184.172.141.0","US","com",19,1,26,27/11/2011 00:00,20/06/2012 00:00
50,"highsidemotorsports.com",658,-1,1,26,16927,1483736,331724,15/02/2010 00:00,10/08/2013 00:00,"206.214.222.173","206.214.222.0","US","com",14,2,26,05/12/2011 00:00,20/06/2012 00:00
51,"darienlakeblog.com",269,-1,1,24,11328,11643,4838,07/08/2010 00:00,10/08/2013 00:00,"174.36.161.130","174.36.161.0","US","com",16,9,24,22/11/2011 00:00,22/11/2011 00:00
52,"72pines.com",14668,-1,1,24,997423,458723,246035,17/01/2008 00:00,30/07/2013 00:00,"66.63.174.41","66.63.174.0","US","com",23,22,24,01/12/2011 00:00,08/12/2011 00:00
53,"mymoneyeveryday.org",1540,-1,1,23,4762,8900,2876,18/11/2010 00:00,04/02/2012 00:00,"91.121.81.175","91.121.81.0","FR","org",10,1,23,01/12/2011 00:00,01/12/2011 00:00
54,"fossfotography.com",60,-1,1,23,1025,12560,11181,18/02/2009 00:00,07/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",14,11,23,04/04/2013 00:00,18/07/2013 00:00
