"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_bnilasvegas.com","FirstLinkDate_bnilasvegas.com","LastLinkDate_bnilasvegas.com"
1,"golfwildhorse.com",1142,-1,1,169,7061,5402,3972,15/02/2008 00:00,10/08/2013 00:00,"69.175.26.214","69.175.26.0","US","com",27,31,169,09/08/2013 00:00,09/08/2013 00:00
2,"ourownvoices.com",171,-1,1,130,795,32832,26066,17/12/2009 00:00,10/08/2013 00:00,"184.168.139.1","184.168.139.0","US","com",22,5,130,30/11/2010 00:00,25/05/2013 00:00
3,"perkolate.com",3012,-1,1,82,564448,5496,4620,09/02/2008 00:00,10/08/2013 00:00,"64.130.10.15","64.130.10.0","US","com",40,24,82,05/04/2009 00:00,05/04/2009 00:00
4,"kevintaylor.ws",198,-1,1,53,4128,2882,2109,14/02/2009 00:00,10/08/2013 00:00,"64.64.22.144","64.64.22.0","US","ws",13,2,53,14/02/2009 00:00,29/03/2009 00:00
5,"long4love.net",2909,-1,1,30,215375,2965870,442560,27/05/2010 00:00,09/08/2013 00:00,"188.92.72.116","188.92.72.0","LV","net",18,12,30,01/02/2011 00:00,01/02/2011 00:00
6,"tigblog.org",73914,67446,1,10,39417423,3041575,1008109,21/01/2008 00:00,10/08/2013 00:00,"108.162.207.66","108.162.207.0","US","org",59,39,10,08/06/2011 00:00,08/06/2011 00:00
7,"gasta.eu",307,-1,1,9,617030,1492725,1492725,21/01/2008 00:00,07/08/2013 00:00,"91.210.235.70","91.210.235.0","IE","eu",0,0,9,20/08/2010 00:00,20/08/2010 00:00
8,"myfreearticlecentral.com",7287,138749,1,8,2104597,883623,674665,11/02/2008 00:00,10/08/2013 00:00,"168.144.98.178","168.144.98.0","CA","com",41,24,8,05/04/2009 00:00,28/05/2009 00:00
9,"cushendall.net",18,-1,1,8,25,440933,440933,30/06/2009 00:00,10/07/2013 00:00,"82.98.86.167","82.98.86.0","DE","net",0,0,8,20/10/2011 00:00,20/10/2011 00:00
10,"querycat.com",13953,58371,1,7,571291,2426261,328615,11/01/2008 00:00,10/08/2013 00:00,"174.129.217.153","174.129.217.0","US","com",29,24,7,11/02/2008 00:00,11/02/2008 00:00
11,"derrycity.net",20,-1,1,7,327,967352,967352,05/10/2008 00:00,24/07/2013 00:00,"82.98.86.171","82.98.86.0","DE","net",0,0,7,22/01/2010 00:00,03/03/2010 00:00
12,"firstintro.com",0,-1,1,7,0,7122,7024,19/12/2012 00:00,13/01/2013 00:00,"24.120.116.156","24.120.116.0","US","com",0,0,7,14/04/2013 00:00,19/04/2013 00:00
13,"vegasinsurance.net",2072,-1,1,6,10603,507,356,31/01/2008 00:00,10/08/2013 00:00,"64.64.21.142","64.64.21.0","US","net",30,24,6,22/06/2009 00:00,01/03/2013 00:00
14,"downtownbelfast.com",591,-1,1,6,13455243,933342,344244,03/07/2009 00:00,07/08/2013 00:00,"211.9.67.130","211.9.67.0","JP","com",16,6,6,03/11/2009 00:00,17/01/2010 00:00
15,"nabillagroup.com",154,-1,1,6,59570,136495,76109,09/12/2010 00:00,10/08/2013 00:00,"103.29.214.191","103.29.214.0","ID","com",20,0,6,07/05/2013 00:00,07/05/2013 00:00
16,"gbg.bg",13022,17047,1,5,9621252,14987982,1553212,24/01/2008 00:00,10/08/2013 00:00,"87.120.176.4","87.120.176.0","BG","bg",42,42,5,02/07/2010 00:00,02/07/2010 00:00
17,"websproutconsulting.com",1426,-1,1,5,19722,1302,982,03/12/2008 00:00,31/07/2013 00:00,"216.172.166.88","216.172.166.0","US","com",24,11,5,05/11/2010 00:00,12/07/2013 00:00
18,"northbelfast.net",19,-1,1,5,4719,1076762,1076762,27/06/2009 00:00,07/07/2013 00:00,"82.98.86.165","82.98.86.0","DE","net",0,0,5,03/10/2010 00:00,22/10/2011 00:00
19,"foyleside.com",15,-1,1,5,3174,1026333,1026332,15/06/2009 00:00,12/02/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",0,0,5,18/09/2009 00:00,15/10/2010 00:00
20,"veyq.ir",3200,31330,1,4,1297067,5371104,732265,28/10/2009 00:00,10/08/2013 00:00,"176.9.85.232","176.9.85.0","DE","ir",26,15,4,26/09/2010 00:00,26/09/2010 00:00
