"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_trs24-7.com","FirstLinkDate_trs24-7.com","LastLinkDate_trs24-7.com"
1,"birectory.com",2954,192269,1,63,372229,2660776,166443,13/10/2011 00:00,10/08/2013 00:00,"176.9.90.237","176.9.90.0","DE","com",23,18,63,13/09/2012 00:00,25/09/2012 00:00
2,"yourwaterdamage.com",15,-1,1,47,202,4773,4768,18/01/2013 00:00,10/08/2013 00:00,"65.111.165.118","65.111.165.0","US","com",21,1,47,15/03/2013 00:00,16/04/2013 00:00
3,"coppercreekconst.com",303,-1,1,30,2316,318,148,15/06/2008 00:00,27/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",13,11,30,23/08/2011 00:00,15/09/2011 00:00
4,"freedomfeednews.com",376,-1,1,28,688,215,214,11/06/2013 00:00,10/08/2013 00:00,"","","","com",23,5,28,01/06/2013 00:00,01/06/2013 00:00
5,"moldremovaldude.com",22,-1,1,14,44,42568,39105,13/02/2013 00:00,10/08/2013 00:00,"216.172.164.248","216.172.164.0","US","com",4,0,14,03/03/2013 00:00,21/03/2013 00:00
6,"yellowhours.com",2838,285602,1,12,199001,4609606,949207,18/06/2009 00:00,10/08/2013 00:00,"50.62.240.1","50.62.240.0","US","com",28,18,12,21/06/2012 00:00,06/08/2012 00:00
7,"brownbook.net",47539,12846,1,11,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,11,27/04/2012 00:00,04/05/2012 00:00
8,"doesbleachkillmold.org",367,-1,1,11,4424,14468,14086,06/02/2013 00:00,02/08/2013 00:00,"50.22.42.93","50.22.42.0","US","org",19,1,11,08/03/2013 00:00,06/07/2013 00:00
9,"trademarkcarpet.com",113,-1,1,8,568,45,33,08/11/2011 00:00,16/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",13,0,8,11/10/2011 00:00,11/10/2011 00:00
10,"waterdamagerestorationcost.com",0,-1,1,7,0,15156,14869,28/03/2013 00:00,10/08/2013 00:00,"216.172.180.180","216.172.180.0","US","com",0,0,7,01/04/2013 00:00,03/04/2013 00:00
11,"waterdamageandwaterrestoration.com",5,-1,1,7,8,9465,9301,10/03/2013 00:00,08/08/2013 00:00,"173.237.136.62","173.237.136.0","US","com",4,0,7,11/03/2013 00:00,11/03/2013 00:00
12,"magicalfloridawedding.com",9143,-1,1,7,256024,90833,81400,07/02/2008 00:00,10/08/2013 00:00,"174.34.254.123","174.34.254.0","US","com",46,12,7,02/05/2013 00:00,19/05/2013 00:00
13,"angel14.com",150,-1,1,7,15948,13368,5906,18/11/2009 00:00,10/08/2013 00:00,"76.74.254.123","76.74.254.0","US","com",25,14,7,30/06/2012 00:00,30/06/2012 00:00
