"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_lorifeldmanattorney.com","FirstLinkDate_lorifeldmanattorney.com","LastLinkDate_lorifeldmanattorney.com"
1,"bilatergigithalia.com",345,-1,1,8594,56148,65749,39656,11/10/2011 00:00,07/03/2013 00:00,"173.249.151.182","173.249.151.0","US","com",11,2,8594,28/11/2011 00:00,07/12/2011 00:00
2,"jamespolnick.com",818,-1,1,8514,5624,221146,122302,12/02/2011 00:00,10/08/2013 00:00,"97.74.215.78","97.74.215.0","US","com",19,4,8514,04/12/2011 00:00,26/07/2012 00:00
3,"pulausumbawanews.com",124,-1,1,1871,3974,35913,27594,12/12/2011 00:00,10/08/2013 00:00,"68.233.241.129","68.233.241.0","US","com",25,1,1871,23/10/2012 00:00,06/11/2012 00:00
4,"thefuturephone.com",125,-1,1,362,183,1603,1208,13/12/2011 00:00,25/12/2012 00:00,"184.168.221.88","184.168.221.0","US","com",7,4,362,01/12/2011 00:00,01/12/2011 00:00
5,"howtoplayinstruments.com",1213,-1,1,316,6787,132615,95069,20/06/2012 00:00,10/08/2013 00:00,"50.21.182.75","50.21.182.0","US","com",16,2,316,11/01/2013 00:00,28/02/2013 00:00
6,"ilmoralista.it",200,848845,1,226,20807,14704,8456,16/10/2011 00:00,10/08/2013 00:00,"62.149.142.77","62.149.142.0","IT","it",32,15,226,24/11/2011 00:00,25/11/2011 00:00
7,"tooclothesminded.com",332,-1,1,194,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,194,02/05/2012 00:00,02/04/2013 00:00
8,"jalopnik.com.br",25559,48029,1,190,1982370,909289,212075,23/03/2010 00:00,10/08/2013 00:00,"216.137.33.213","216.137.33.0","US","br",56,29,190,29/11/2011 00:00,10/05/2012 00:00
9,"versionhunter.com",1369,-1,1,147,21028,95732,49300,31/03/2010 00:00,10/08/2013 00:00,"67.222.42.47","67.222.42.0","US","com",31,9,147,24/11/2011 00:00,24/11/2011 00:00
10,"joshcopeland.com",92,-1,1,147,491,2088,827,28/04/2011 00:00,09/08/2013 00:00,"74.50.25.165","74.50.25.0","US","com",6,0,147,21/11/2011 00:00,21/11/2011 00:00
11,"itouchreviews.com",119,-1,1,115,375,14509,4740,27/10/2010 00:00,10/08/2013 00:00,"50.16.190.132","50.16.190.0","US","com",14,4,115,22/11/2011 00:00,22/11/2011 00:00
12,"footballworldholic.info",293,-1,1,112,6315,223082,59811,03/05/2011 00:00,21/07/2013 00:00,"176.74.176.167","176.74.176.0","UK","info",8,0,112,30/11/2011 00:00,21/12/2011 00:00
13,"paradise-valley-homesforsale.com",60,-1,1,111,241,17274,7635,12/10/2009 00:00,04/08/2013 00:00,"184.168.221.56","184.168.221.0","US","com",5,0,111,06/12/2011 00:00,20/12/2011 00:00
14,"brunomars.me",5076,-1,1,88,17762,6582,5478,22/02/2013 00:00,20/07/2013 00:00,"173.201.144.128","173.201.144.0","US","me",22,5,88,12/07/2012 00:00,28/02/2013 00:00
15,"alfredho.org",313,-1,1,87,1275,1445,1362,06/05/2011 00:00,27/07/2013 00:00,"50.22.80.7","50.22.80.0","US","org",24,0,87,29/11/2011 00:00,22/02/2013 00:00
16,"jas-khanna.com",381,-1,1,78,15213,3428,2576,27/10/2010 00:00,26/07/2013 00:00,"174.121.188.5","174.121.188.0","US","com",11,0,78,22/11/2011 00:00,22/11/2011 00:00
17,"swapnilghosh.tk",18,-1,1,75,162,507,387,04/11/2010 00:00,29/02/2012 00:00,"209.190.85.24","209.190.85.0","US","tk",6,0,75,23/11/2011 00:00,23/11/2011 00:00
18,"pramsite.com",399,-1,1,72,2178,1517,805,04/09/2008 00:00,25/03/2013 00:00,"184.173.212.188","184.173.212.0","US","com",10,0,72,06/12/2011 00:00,06/12/2011 00:00
