"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_distinctivedesignvegas.com","FirstLinkDate_distinctivedesignvegas.com","LastLinkDate_distinctivedesignvegas.com"
1,"jamespolnick.com",818,-1,1,6254,5624,221146,122302,12/02/2011 00:00,10/08/2013 00:00,"97.74.215.78","97.74.215.0","US","com",19,4,6254,04/12/2011 00:00,26/07/2012 00:00
2,"bilatergigithalia.com",345,-1,1,5648,56148,65749,39656,11/10/2011 00:00,07/03/2013 00:00,"173.249.151.182","173.249.151.0","US","com",11,2,5648,28/11/2011 00:00,07/12/2011 00:00
3,"pulausumbawanews.com",124,-1,1,1014,3974,35913,27594,12/12/2011 00:00,10/08/2013 00:00,"68.233.241.129","68.233.241.0","US","com",25,1,1014,06/11/2012 00:00,06/11/2012 00:00
4,"thefuturephone.com",125,-1,1,460,183,1603,1208,13/12/2011 00:00,25/12/2012 00:00,"184.168.221.88","184.168.221.0","US","com",7,4,460,01/12/2011 00:00,01/12/2011 00:00
5,"ilmoralista.it",200,848845,1,342,20807,14704,8456,16/10/2011 00:00,10/08/2013 00:00,"62.149.142.77","62.149.142.0","IT","it",32,15,342,24/11/2011 00:00,25/11/2011 00:00
6,"tooclothesminded.com",332,-1,1,293,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,293,11/05/2012 00:00,06/04/2013 00:00
7,"plusmodels.com",17837,-1,1,271,312115,146454,99820,12/01/2008 00:00,10/08/2013 00:00,"192.96.211.66","192.96.211.0","US","com",32,13,271,21/11/2011 00:00,25/11/2011 00:00
8,"howtoplayinstruments.com",1213,-1,1,191,6787,132615,95069,20/06/2012 00:00,10/08/2013 00:00,"50.21.182.75","50.21.182.0","US","com",16,2,191,01/02/2013 00:00,13/03/2013 00:00
9,"booshben.com",244,-1,1,155,9953,79771,60736,21/06/2012 00:00,10/08/2013 00:00,"66.147.244.182","66.147.244.0","US","com",12,8,155,12/01/2013 00:00,21/02/2013 00:00
10,"joshcopeland.com",92,-1,1,149,491,2088,827,28/04/2011 00:00,09/08/2013 00:00,"74.50.25.165","74.50.25.0","US","com",6,0,149,21/11/2011 00:00,21/11/2011 00:00
11,"versionhunter.com",1369,-1,1,145,21028,95732,49300,31/03/2010 00:00,10/08/2013 00:00,"67.222.42.47","67.222.42.0","US","com",31,9,145,24/11/2011 00:00,24/11/2011 00:00
12,"jalopnik.com.br",25559,48029,1,129,1982370,909289,212075,23/03/2010 00:00,10/08/2013 00:00,"216.137.33.213","216.137.33.0","US","br",56,29,129,12/02/2012 00:00,07/03/2012 00:00
13,"footballworldholic.info",293,-1,1,126,6315,223082,59811,03/05/2011 00:00,21/07/2013 00:00,"176.74.176.167","176.74.176.0","UK","info",8,0,126,28/11/2011 00:00,21/12/2011 00:00
14,"jas-khanna.com",381,-1,1,87,15213,3428,2576,27/10/2010 00:00,26/07/2013 00:00,"174.121.188.5","174.121.188.0","US","com",11,0,87,22/11/2011 00:00,22/11/2011 00:00
15,"paradise-valley-homesforsale.com",60,-1,1,80,241,17274,7635,12/10/2009 00:00,04/08/2013 00:00,"184.168.221.56","184.168.221.0","US","com",5,0,80,23/11/2011 00:00,23/11/2011 00:00
16,"alfredho.org",313,-1,1,80,1275,1445,1362,06/05/2011 00:00,27/07/2013 00:00,"50.22.80.7","50.22.80.0","US","org",24,0,80,02/01/2012 00:00,22/02/2013 00:00
17,"swapnilghosh.tk",18,-1,1,53,162,507,387,04/11/2010 00:00,29/02/2012 00:00,"209.190.85.24","209.190.85.0","US","tk",6,0,53,23/11/2011 00:00,23/11/2011 00:00
18,"akolob.com",81,-1,1,51,430,416,250,30/11/2009 00:00,27/01/2013 00:00,"49.50.249.50","49.50.249.0","NZ","com",7,1,51,22/11/2011 00:00,22/11/2011 00:00
19,"sharepointjungle.com",201,-1,1,51,1597,75832,55678,11/06/2011 00:00,10/08/2013 00:00,"173.201.97.1","173.201.97.0","US","com",13,1,51,25/03/2013 00:00,25/03/2013 00:00
20,"3xgamer.com",673,-1,1,51,2542,279465,116969,06/10/2009 00:00,10/08/2013 00:00,"208.109.78.142","208.109.78.0","US","com",14,6,51,19/12/2011 00:00,11/05/2013 00:00
21,"pramsite.com",399,-1,1,49,2178,1517,805,04/09/2008 00:00,25/03/2013 00:00,"184.173.212.188","184.173.212.0","US","com",10,0,49,06/12/2011 00:00,06/12/2011 00:00
22,"newlenz.com",254,-1,1,44,1774870,9644,6956,28/08/2009 00:00,10/08/2013 00:00,"216.157.88.18","216.157.88.0","US","com",10,0,44,06/12/2011 00:00,06/12/2011 00:00
23,"rf.ro",832,-1,1,42,8373,20369,11307,11/10/2010 00:00,10/08/2013 00:00,"93.113.193.13","93.113.193.0","RO","ro",21,4,42,22/11/2011 00:00,06/12/2011 00:00
24,"usfaddicts.net",331,-1,1,40,7200,17334,7462,20/11/2010 00:00,10/08/2013 00:00,"74.86.182.35","74.86.182.0","US","net",25,5,40,01/01/2012 00:00,01/01/2012 00:00
25,"newestinfo.info",167,-1,1,38,1803,35114,20993,01/04/2011 00:00,01/04/2013 00:00,"50.63.202.81","50.63.202.0","US","info",8,0,38,22/11/2011 00:00,26/11/2011 00:00
26,"powerscript.net",23,-1,1,37,3003,2192,1611,21/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",8,1,37,27/11/2011 00:00,09/01/2012 00:00
27,"howardfrenia.com",101,-1,1,34,742,1691,1658,19/06/2012 00:00,30/07/2013 00:00,"184.172.150.20","184.172.150.0","US","com",14,1,34,25/02/2013 00:00,16/07/2013 00:00
28,"budgetbusinessservices.com",360,-1,1,34,2101,25482,21148,14/01/2013 00:00,10/08/2013 00:00,"184.170.144.73","184.170.144.0","US","com",18,4,34,03/03/2013 00:00,04/03/2013 00:00
29,"ntct.edu.tw",66767,155862,1,33,3941588,4390421,739703,24/01/2008 00:00,10/08/2013 00:00,"163.22.168.116","163.22.168.0","TW","tw",34,36,33,22/11/2011 00:00,31/12/2011 00:00
30,"irvinsammons.net",40,-1,1,33,807,963,845,07/02/2011 00:00,10/08/2013 00:00,"41.76.209.59","41.76.209.0","ZA","net",17,0,33,30/11/2011 00:00,10/01/2012 00:00
31,"affiliatemakemoney.com",455,-1,1,33,3502,46214,23146,10/01/2008 00:00,09/08/2013 00:00,"74.52.151.18","74.52.151.0","US","com",13,2,33,22/11/2011 00:00,22/11/2011 00:00
32,"myweightlosssolution.com",861,-1,1,31,12119,10176,9384,11/05/2008 00:00,04/06/2013 00:00,"174.120.200.163","174.120.200.0","US","com",12,1,31,29/08/2012 00:00,14/03/2013 00:00
33,"wellnesspacificcoast.com",215,-1,1,31,3255,2639,2173,01/06/2010 00:00,10/01/2013 00:00,"66.147.242.166","66.147.242.0","US","com",8,1,31,22/11/2011 00:00,07/12/2011 00:00
34,"greenindonesia.net",416,-1,1,29,2940,452,349,26/07/2008 00:00,08/08/2013 00:00,"69.163.192.6","69.163.192.0","US","net",14,3,29,04/12/2011 00:00,04/12/2011 00:00
