"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_arizonasandsrvpark.com","FirstLinkDate_arizonasandsrvpark.com","LastLinkDate_arizonasandsrvpark.com"
1,"ieurotourism.eu",150,-1,1,41,83636,262236,173441,28/09/2008 00:00,02/07/2009 00:00,"193.136.92.50","193.136.92.0","PT","eu",8,6,41,01/12/2008 00:00,01/12/2008 00:00
2,"memorexa.com",5875,-1,1,36,2583906,976949,538162,09/01/2008 00:00,22/06/2012 00:00,"67.15.247.197","67.15.247.0","US","com",19,14,36,13/05/2009 00:00,13/05/2009 00:00
3,"americantrailsrv.com",9,-1,1,29,67,76,59,20/06/2012 00:00,18/07/2013 00:00,"174.122.114.250","174.122.114.0","US","com",5,7,29,02/10/2012 00:00,01/07/2013 00:00
4,"listingsarizona.com",312,-1,1,29,1340,390897,85345,16/01/2008 00:00,16/11/2012 00:00,"209.62.111.242","209.62.111.0","US","com",7,3,29,18/02/2008 00:00,03/11/2012 00:00
5,"elmonterv.com",9009,153507,1,28,422217,39242,25901,10/02/2008 00:00,10/08/2013 00:00,"66.223.110.182","66.223.110.0","US","com",41,51,28,02/08/2010 00:00,22/02/2012 00:00
6,"listingsus.com",5441,200807,1,27,2636970,4204787,1923059,09/01/2008 00:00,10/08/2013 00:00,"209.62.111.242","209.62.111.0","US","com",35,20,27,30/03/2008 00:00,09/10/2012 00:00
7,"scopek.com",7149,-1,1,27,98612,8495010,1101060,03/01/2009 00:00,02/08/2013 00:00,"173.201.44.120","173.201.44.0","US","com",18,19,27,28/07/2009 00:00,04/09/2009 00:00
8,"advancedseniorsolutions.com",2385,-1,1,22,135483,129612,100263,20/01/2008 00:00,10/08/2013 00:00,"38.113.1.225","38.113.1.0","US","com",23,19,22,25/05/2008 00:00,25/05/2008 00:00
9,"recreation-0105afqfz.info",4,-1,1,14,13,65349,62391,02/05/2010 00:00,03/11/2010 00:00,"","","","info",0,0,14,19/09/2010 00:00,19/09/2010 00:00
10,"recreation-0208alwsv.info",5,-1,1,14,2840,68570,51578,21/05/2010 00:00,15/01/2013 00:00,"199.59.163.207","199.59.163.0","US","info",0,0,14,18/10/2010 00:00,18/10/2010 00:00
