"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cardealership.com","FirstLinkDate_cardealership.com","LastLinkDate_cardealership.com"
1,"jamespolnick.com",818,-1,1,4149,5624,221146,122302,12/02/2011 00:00,10/08/2013 00:00,"97.74.215.78","97.74.215.0","US","com",19,4,4149,29/11/2011 00:00,14/08/2012 00:00
2,"bilatergigithalia.com",345,-1,1,3751,56148,65749,39656,11/10/2011 00:00,07/03/2013 00:00,"173.249.151.182","173.249.151.0","US","com",11,2,3751,28/11/2011 00:00,07/12/2011 00:00
3,"lexusdealer.mobi",5,-1,1,1789,12,6192,5878,29/05/2013 00:00,10/08/2013 00:00,"72.36.214.14","72.36.214.0","US","mobi",11,4,1789,04/04/2013 00:00,05/04/2013 00:00
4,"pulausumbawanews.com",124,-1,1,1341,3974,35913,27594,12/12/2011 00:00,10/08/2013 00:00,"68.233.241.129","68.233.241.0","US","com",25,1,1341,15/02/2013 00:00,21/02/2013 00:00
5,"lexusoflasvegasblog.com",17,-1,1,1007,93,697,574,08/04/2011 00:00,10/08/2013 00:00,"66.96.147.109","66.96.147.0","US","com",10,4,1007,14/07/2012 00:00,01/08/2013 00:00
6,"ilmoralista.it",200,848845,1,827,20807,14704,8456,16/10/2011 00:00,10/08/2013 00:00,"62.149.142.77","62.149.142.0","IT","it",32,15,827,24/11/2011 00:00,25/11/2011 00:00
7,"motoseller.com",6946,433912,1,818,356010,1885999,1022969,09/01/2008 00:00,10/08/2013 00:00,"208.92.166.179","208.92.166.0","US","com",38,42,818,20/08/2008 00:00,20/08/2008 00:00
8,"thefuturephone.com",125,-1,1,455,183,1603,1208,13/12/2011 00:00,25/12/2012 00:00,"184.168.221.88","184.168.221.0","US","com",7,4,455,01/12/2011 00:00,01/12/2011 00:00
9,"ebay.com",1854822,20,1,356,21253846481,16478906793,527328262,09/01/2008 00:00,10/08/2013 00:00,"66.211.181.161","66.211.181.0","US","com",93,87,356,13/01/2008 00:00,13/01/2008 00:00
10,"plusmodels.com",17837,-1,1,278,312115,146454,99820,12/01/2008 00:00,10/08/2013 00:00,"192.96.211.66","192.96.211.0","US","com",32,13,278,21/11/2011 00:00,25/11/2011 00:00
11,"tooclothesminded.com",332,-1,1,242,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,242,06/05/2012 00:00,01/04/2013 00:00
12,"paradise-valley-homesforsale.com",60,-1,1,187,241,17274,7635,12/10/2009 00:00,04/08/2013 00:00,"184.168.221.56","184.168.221.0","US","com",5,0,187,23/11/2011 00:00,23/11/2011 00:00
13,"versionhunter.com",1369,-1,1,181,21028,95732,49300,31/03/2010 00:00,10/08/2013 00:00,"67.222.42.47","67.222.42.0","US","com",31,9,181,24/11/2011 00:00,24/11/2011 00:00
14,"pilladas.biz",213,-1,1,175,27139,32222,11319,25/01/2009 00:00,06/01/2013 00:00,"67.215.66.132","67.215.66.0","US","biz",10,5,175,05/05/2012 00:00,08/05/2012 00:00
15,"easterseals.com",32819,185725,1,158,986648,4316575,1059417,09/01/2008 00:00,10/08/2013 00:00,"66.45.103.33","66.45.103.0","US","com",54,59,158,08/03/2008 00:00,08/03/2008 00:00
16,"jalopnik.com.br",25559,48029,1,131,1982370,909289,212075,23/03/2010 00:00,10/08/2013 00:00,"216.137.33.213","216.137.33.0","US","br",56,29,131,12/02/2012 00:00,19/02/2012 00:00
17,"rednecksbowl.net",53,-1,1,120,1650,40055,13830,24/08/2010 00:00,10/08/2013 00:00,"81.2.195.71","81.2.195.0","CZ","net",15,8,120,15/05/2012 00:00,15/05/2012 00:00
18,"want2blog.net",5195,434269,1,114,167541,122036,77172,13/09/2010 00:00,10/08/2013 00:00,"85.214.225.100","85.214.225.0","DE","net",36,16,114,03/12/2011 00:00,13/12/2011 00:00
19,"birectory.com",2954,192269,1,112,372229,2660776,166443,13/10/2011 00:00,10/08/2013 00:00,"176.9.90.237","176.9.90.0","DE","com",23,18,112,04/03/2013 00:00,11/03/2013 00:00
20,"emzorpharma.com",842,-1,1,107,5531,298831,98901,16/02/2008 00:00,10/08/2013 00:00,"50.62.130.135","50.62.130.0","US","com",24,11,107,26/11/2011 00:00,26/11/2011 00:00
