"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_pharmacycompany.com","FirstLinkDate_pharmacycompany.com","LastLinkDate_pharmacycompany.com"
1,"tooclothesminded.com",332,-1,1,483,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,483,06/05/2012 00:00,08/04/2013 00:00
2,"vrgdt.se",209,-1,1,188,1586,50283,22114,27/12/2009 00:00,08/08/2013 00:00,"46.30.211.51","46.30.211.0","DK","se",18,9,188,12/05/2012 00:00,30/05/2012 00:00
3,"diktiergeraete-forum.de",5866,-1,1,21,30357,328179,171529,01/02/2010 00:00,26/07/2013 00:00,"85.13.133.58","85.13.133.0","DE","de",36,12,21,07/03/2013 00:00,20/04/2013 00:00
4,"babydaddyguru.com",50,-1,1,16,2829,44274,37083,21/06/2012 00:00,10/08/2013 00:00,"69.195.82.156","69.195.82.0","US","com",20,3,16,08/03/2013 00:00,08/03/2013 00:00
5,"winrxrefill.com",513,795235,1,14,283652,2418,2235,10/11/2010 00:00,08/08/2013 00:00,"207.150.197.231","207.150.197.0","US","com",29,29,14,27/05/2013 00:00,29/05/2013 00:00
6,"alpvideo.ru",322,-1,1,13,8816,46144,33601,13/02/2009 00:00,10/08/2013 00:00,"188.128.85.11","188.128.85.0","RU","ru",13,13,13,20/04/2012 00:00,15/08/2012 00:00
7,"canucks.com",13594,69499,1,10,1708804,10560444,1625584,13/01/2008 00:00,10/08/2013 00:00,"8.20.73.150","8.20.73.0","US","com",34,43,10,10/04/2012 00:00,10/04/2012 00:00
8,"praxishomepage.de",600,-1,1,10,6681,20800,14226,20/01/2008 00:00,10/08/2013 00:00,"85.236.48.180","85.236.48.0","DE","de",25,19,10,26/02/2013 00:00,22/07/2013 00:00
9,"inzipfo.com",526,-1,1,9,15427,16282,7503,15/05/2010 00:00,08/08/2013 00:00,"72.29.74.243","72.29.74.0","US","com",12,10,9,09/05/2011 00:00,28/09/2011 00:00
10,"medicalmarijuanalouisiana.net",46,-1,1,8,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,8,23/02/2013 00:00,27/07/2013 00:00
11,"backpainunitedstates.com",625,928947,1,7,19596,26962,14780,25/11/2010 00:00,10/08/2013 00:00,"184.173.193.62","184.173.193.0","US","com",28,2,7,23/04/2012 00:00,12/06/2012 00:00
12,"medicalmarijuanamissouri.net",351,-1,1,7,4751,4558,3804,17/12/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",25,4,7,06/03/2013 00:00,09/08/2013 00:00
13,"cmalv.com",12,-1,1,6,13844,192,98,14/06/2012 00:00,09/08/2013 00:00,"97.74.144.160","97.74.144.0","US","com",9,28,6,17/11/2012 00:00,01/03/2013 00:00
14,"medicalmarijuanatexas.net",72,-1,1,6,508,4443,3930,24/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",16,2,6,23/02/2013 00:00,23/07/2013 00:00
