"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_printingshop.com","FirstLinkDate_printingshop.com","LastLinkDate_printingshop.com"
1,"jmellographics.com",25,-1,1,6155,846,15657,8741,25/02/2010 00:00,16/07/2013 00:00,"66.147.240.152","66.147.240.0","US","com",4,0,6155,08/12/2010 00:00,03/01/2011 00:00
2,"jamespolnick.com",818,-1,1,3430,5624,221146,122302,12/02/2011 00:00,10/08/2013 00:00,"97.74.215.78","97.74.215.0","US","com",19,4,3430,04/12/2011 00:00,14/08/2012 00:00
3,"pulausumbawanews.com",124,-1,1,1582,3974,35913,27594,12/12/2011 00:00,10/08/2013 00:00,"68.233.241.129","68.233.241.0","US","com",25,1,1582,06/11/2012 00:00,06/11/2012 00:00
4,"marketing-online.net.au",1021,-1,1,811,7504,118286,67631,04/02/2012 00:00,20/07/2013 00:00,"203.170.87.169","203.170.87.0","AU","au",18,5,811,11/05/2013 00:00,11/05/2013 00:00
5,"ilmoralista.it",200,848845,1,654,20807,14704,8456,16/10/2011 00:00,10/08/2013 00:00,"62.149.142.77","62.149.142.0","IT","it",32,15,654,24/11/2011 00:00,25/11/2011 00:00
6,"footballworldholic.info",293,-1,1,501,6315,223082,59811,03/05/2011 00:00,21/07/2013 00:00,"176.74.176.167","176.74.176.0","UK","info",8,0,501,26/11/2011 00:00,21/12/2011 00:00
7,"thefuturephone.com",125,-1,1,462,183,1603,1208,13/12/2011 00:00,25/12/2012 00:00,"184.168.221.88","184.168.221.0","US","com",7,4,462,01/12/2011 00:00,01/12/2011 00:00
8,"howtoplayinstruments.com",1213,-1,1,314,6787,132615,95069,20/06/2012 00:00,10/08/2013 00:00,"50.21.182.75","50.21.182.0","US","com",16,2,314,11/01/2013 00:00,28/02/2013 00:00
9,"paradise-valley-homesforsale.com",60,-1,1,292,241,17274,7635,12/10/2009 00:00,04/08/2013 00:00,"184.168.221.56","184.168.221.0","US","com",5,0,292,23/11/2011 00:00,23/11/2011 00:00
10,"plusmodels.com",17837,-1,1,273,312115,146454,99820,12/01/2008 00:00,10/08/2013 00:00,"192.96.211.66","192.96.211.0","US","com",32,13,273,21/11/2011 00:00,25/11/2011 00:00
11,"vrgdt.se",209,-1,1,184,1586,50283,22114,27/12/2009 00:00,08/08/2013 00:00,"46.30.211.51","46.30.211.0","DK","se",18,9,184,26/04/2012 00:00,26/04/2012 00:00
12,"versionhunter.com",1369,-1,1,165,21028,95732,49300,31/03/2010 00:00,10/08/2013 00:00,"67.222.42.47","67.222.42.0","US","com",31,9,165,24/11/2011 00:00,24/11/2011 00:00
13,"joshcopeland.com",92,-1,1,87,491,2088,827,28/04/2011 00:00,09/08/2013 00:00,"74.50.25.165","74.50.25.0","US","com",6,0,87,21/11/2011 00:00,21/11/2011 00:00
14,"jas-khanna.com",381,-1,1,81,15213,3428,2576,27/10/2010 00:00,26/07/2013 00:00,"174.121.188.5","174.121.188.0","US","com",11,0,81,21/11/2011 00:00,22/11/2011 00:00
15,"tooclothesminded.com",332,-1,1,72,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,72,31/05/2012 00:00,26/05/2013 00:00
16,"pramsite.com",399,-1,1,58,2178,1517,805,04/09/2008 00:00,25/03/2013 00:00,"184.173.212.188","184.173.212.0","US","com",10,0,58,06/12/2011 00:00,06/12/2011 00:00
17,"zhangheng.org",89,-1,1,51,1816,21916,13726,21/06/2008 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","org",7,0,51,22/06/2012 00:00,26/06/2012 00:00
18,"sharepointjungle.com",201,-1,1,51,1597,75832,55678,11/06/2011 00:00,10/08/2013 00:00,"173.201.97.1","173.201.97.0","US","com",13,1,51,25/03/2013 00:00,25/03/2013 00:00
19,"123refills.net",3242,416113,1,49,407253,115851,81551,31/01/2008 00:00,10/08/2013 00:00,"50.62.131.32","50.62.131.0","US","net",34,16,49,27/03/2013 00:00,27/03/2013 00:00
20,"usfaddicts.net",331,-1,1,45,7200,17334,7462,20/11/2010 00:00,10/08/2013 00:00,"74.86.182.35","74.86.182.0","US","net",25,5,45,02/03/2012 00:00,18/04/2012 00:00
21,"budgetbusinessservices.com",360,-1,1,44,2101,25482,21148,14/01/2013 00:00,10/08/2013 00:00,"184.170.144.73","184.170.144.0","US","com",18,4,44,28/02/2013 00:00,02/03/2013 00:00
22,"newlenz.com",254,-1,1,44,1774870,9644,6956,28/08/2009 00:00,10/08/2013 00:00,"216.157.88.18","216.157.88.0","US","com",10,0,44,06/12/2011 00:00,06/12/2011 00:00
23,"affiliatemakemoney.com",455,-1,1,42,3502,46214,23146,10/01/2008 00:00,09/08/2013 00:00,"74.52.151.18","74.52.151.0","US","com",13,2,42,22/11/2011 00:00,14/01/2012 00:00
24,"m2on.com",37,-1,1,41,489,9986,9480,30/06/2013 00:00,10/08/2013 00:00,"69.89.25.170","69.89.25.0","US","com",10,0,41,02/08/2013 00:00,02/08/2013 00:00
25,"akolob.com",81,-1,1,41,430,416,250,30/11/2009 00:00,27/01/2013 00:00,"49.50.249.50","49.50.249.0","NZ","com",7,1,41,22/11/2011 00:00,22/11/2011 00:00
26,"rf.ro",832,-1,1,39,8373,20369,11307,11/10/2010 00:00,10/08/2013 00:00,"93.113.193.13","93.113.193.0","RO","ro",21,4,39,22/11/2011 00:00,03/02/2012 00:00
27,"alfredho.org",313,-1,1,38,1275,1445,1362,06/05/2011 00:00,27/07/2013 00:00,"50.22.80.7","50.22.80.0","US","org",24,0,38,02/01/2012 00:00,22/02/2013 00:00
