"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_nonprofit.org","FirstLinkDate_alsnonprofit.org","LastLinkDate_nonprofit.org"
1,"online-internet-marketing-strategies.com",1526,-1,1,20248,509719,5718068,486984,30/07/2008 00:00,31/07/2013 00:00,"108.167.179.192","108.167.179.0","US","com",24,7,20248,11/05/2008 00:00,27/07/2012 00:00
2,"forcedgreen.com",2142,790696,1,13768,171165,2670607,298209,06/10/2008 00:00,31/07/2013 00:00,"184.173.210.193","184.173.210.0","US","com",27,25,13768,12/04/2009 00:00,30/11/2012 00:00
3,"goalforthegreen.com",980,441085,1,6134,152860,9957,8651,19/09/2008 00:00,31/07/2013 00:00,"174.120.22.125","174.120.22.0","US","com",26,17,6134,21/04/2009 00:00,24/12/2012 00:00
4,"soloadexplosion.com",321,-1,1,5065,56320,7519,6726,19/11/2008 00:00,31/07/2013 00:00,"108.167.179.192","108.167.179.0","US","com",18,7,5065,20/03/2009 00:00,08/02/2011 00:00
5,"mywizardads.com",4236,283794,1,3602,216906,4276052,321960,09/01/2008 00:00,31/07/2013 00:00,"108.167.179.192","108.167.179.0","US","com",30,15,3602,24/05/2009 00:00,17/01/2012 00:00
6,"imwebniches.com",293,-1,1,1981,52716,9343,7515,01/06/2009 00:00,01/08/2013 00:00,"108.167.179.192","108.167.179.0","US","com",18,7,1981,15/11/2010 00:00,13/11/2011 00:00
7,"boardmancountry.com",240,-1,1,1732,47830,3090,3050,13/11/2008 00:00,27/07/2013 00:00,"108.167.164.82","108.167.164.0","US","com",17,7,1732,30/04/2009 00:00,03/01/2013 00:00
8,"glosgiftsblog.com",1426,473288,1,1659,103025,42445,31824,13/03/2010 00:00,31/07/2013 00:00,"141.101.117.107","141.101.117.0","EU","com",14,2,1659,08/03/2010 00:00,08/03/2010 00:00
9,"commentexchange.net",35,-1,1,1288,3202,7726,4435,26/09/2009 00:00,13/09/2012 00:00,"64.95.64.194","64.95.64.0","US","net",7,2,1288,26/09/2009 00:00,26/09/2009 00:00
10,"americanbeauty.ws",1233,-1,1,1231,92870,1716,1619,12/01/2011 00:00,08/08/2013 00:00,"108.167.179.192","108.167.179.0","US","ws",20,15,1231,31/12/2010 00:00,03/01/2012 00:00
11,"elbeeservicesllc.com",281,-1,1,659,82984,1710,1502,23/02/2010 00:00,10/08/2013 00:00,"198.71.53.243","198.71.53.0","US","com",22,8,659,01/04/2011 00:00,12/04/2011 00:00
12,"morethansewso.com",354,-1,1,644,32289,5242,2570,13/11/2008 00:00,27/07/2013 00:00,"69.59.147.104","69.59.147.0","US","com",12,5,644,27/04/2009 00:00,27/04/2009 00:00
13,"mytangiblewealthblog.com",276,-1,1,430,39744,961,674,07/04/2009 00:00,14/02/2010 00:00,"67.18.16.68","67.18.16.0","US","com",12,3,430,27/04/2009 00:00,25/10/2009 00:00
14,"babyboomersblueprint.com",274,-1,1,296,24144,4793,739,30/01/2010 00:00,10/08/2013 00:00,"184.168.221.17","184.168.221.0","US","com",8,6,296,05/11/2009 00:00,05/11/2009 00:00
15,"asocialthing.com",41,-1,1,270,152,1656,1172,05/12/2011 00:00,21/07/2013 00:00,"82.98.86.161","82.98.86.0","DE","com",6,0,270,08/06/2011 00:00,08/06/2011 00:00
16,"brainfoggles.com",5534,359157,1,234,1030557,182651,113711,11/11/2008 00:00,10/08/2013 00:00,"198.1.90.123","198.1.90.0","US","com",38,21,234,25/05/2009 00:00,10/07/2013 00:00
17,"tooclothesminded.com",332,-1,1,203,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,203,23/04/2012 00:00,27/03/2013 00:00
18,"allaboutalternatives.com",90,-1,1,165,18018,419,316,08/03/2010 00:00,26/08/2010 00:00,"63.251.179.13","63.251.179.0","US","com",8,0,165,10/02/2010 00:00,08/03/2010 00:00
19,"vrgdt.se",209,-1,1,155,1586,50283,22114,27/12/2009 00:00,08/08/2013 00:00,"46.30.211.51","46.30.211.0","DK","se",18,9,155,15/04/2012 00:00,20/05/2012 00:00
20,"boncherry.com",13262,-1,1,143,126797,396552,218752,12/11/2008 00:00,10/08/2013 00:00,"97.74.181.119","97.74.181.0","US","com",34,16,143,19/03/2009 00:00,19/03/2009 00:00
21,"conniesview.com",870,-1,1,138,63588,4986,4452,24/02/2009 00:00,10/08/2013 00:00,"198.1.90.123","198.1.90.0","US","com",22,11,138,05/08/2009 00:00,27/03/2011 00:00
22,"corrinrenee.com",2378,-1,1,125,212063,21598,19111,04/02/2008 00:00,10/08/2013 00:00,"108.162.197.193","108.162.197.0","US","com",30,18,125,02/06/2009 00:00,25/05/2013 00:00
23,"mixitupwithmarc.com",148,-1,1,110,26774,1280,659,15/10/2008 00:00,25/04/2011 00:00,"208.73.210.29","208.73.210.0","US","com",8,3,110,28/04/2009 00:00,30/05/2009 00:00
24,"lvtc.org",1202,-1,1,90,20566,335206,205453,24/01/2008 00:00,10/08/2013 00:00,"208.109.14.135","208.109.14.0","US","org",21,17,90,09/12/2011 00:00,30/06/2013 00:00
25,"i-tong.com",1481,-1,1,89,50476,150547,17462,01/05/2008 00:00,10/08/2013 00:00,"141.101.117.154","141.101.117.0","EU","com",28,7,89,13/04/2011 00:00,13/04/2011 00:00
26,"joes-time-life-travels.com",34,-1,1,83,6879,434,317,14/03/2010 00:00,14/01/2012 00:00,"82.98.86.175","82.98.86.0","DE","com",5,1,83,31/12/2009 00:00,24/02/2010 00:00
27,"thecharityclub.com",69,-1,1,76,6413,74446,19156,14/03/2009 00:00,31/07/2013 00:00,"174.132.128.126","174.132.128.0","US","com",15,0,76,19/07/2009 00:00,19/07/2009 00:00
28,"thecharityclub.net",139,-1,1,71,5990,48682,13807,29/09/2012 00:00,31/07/2013 00:00,"174.132.128.126","174.132.128.0","US","net",22,0,71,06/10/2012 00:00,22/02/2013 00:00
29,"geekyhousewife.com",1458,-1,1,50,100001,6744,6216,01/04/2008 00:00,10/08/2013 00:00,"208.113.215.153","208.113.215.0","US","com",22,17,50,19/11/2009 00:00,04/07/2012 00:00
30,"fragileheart.com",1120,-1,1,50,64840,21161,19527,09/01/2008 00:00,09/08/2013 00:00,"205.186.187.211","205.186.187.0","US","com",22,8,50,22/03/2009 00:00,10/10/2009 00:00
31,"mariorozenwurcel.com.ar",646,-1,1,44,43298,75114,22020,04/08/2009 00:00,01/08/2013 00:00,"190.228.29.85","190.228.29.0","AR","ar",12,2,44,13/04/2012 00:00,13/04/2012 00:00
32,"recycledfrockery.com",1542,-1,1,34,134388,2023705,313378,18/09/2008 00:00,23/06/2012 00:00,"173.254.28.51","173.254.28.0","US","com",13,5,34,15/08/2009 00:00,15/08/2009 00:00
33,"spicypage.com",6825,29658,1,33,977777,1573683,413200,15/01/2008 00:00,10/08/2013 00:00,"216.15.211.134","216.15.211.0","US","com",35,21,33,22/04/2009 00:00,22/04/2009 00:00
34,"online-livecams.com",304,-1,1,33,242169,5519,3646,21/02/2009 00:00,10/08/2013 00:00,"91.184.57.238","91.184.57.0","NL","com",23,14,33,04/04/2011 00:00,04/04/2011 00:00
35,"whoisluanneribble.com",63,-1,1,33,19840,462,287,23/09/2008 00:00,27/04/2009 00:00,"","","","com",6,3,33,16/04/2009 00:00,16/04/2009 00:00
36,"blogspot.com",10026461,11,1,32,30390382927,4792000861,276091166,09/01/2008 00:00,10/08/2013 00:00,"173.194.73.191","173.194.73.0","US","com",95,90,32,25/03/2009 00:00,26/09/2011 00:00
37,"perfectgolfshoe.com",1,-1,1,32,1,6267,6260,29/05/2013 00:00,12/06/2013 00:00,"","","","com",1,0,32,30/05/2013 00:00,30/05/2013 00:00
38,"myhealthcare.com",3980,-1,1,32,173075,2197198,252403,11/01/2008 00:00,10/08/2013 00:00,"69.13.39.34","69.13.39.0","US","com",25,17,32,03/06/2011 00:00,09/09/2011 00:00
39,"karensopinion.com",1394,-1,1,32,96458,8566,8294,29/03/2008 00:00,31/07/2013 00:00,"174.132.192.94","174.132.192.0","US","com",27,14,32,11/10/2009 00:00,04/07/2013 00:00
40,"worldnewsvine.com",2798,-1,1,30,50511,70749,52207,18/12/2009 00:00,10/08/2013 00:00,"108.59.252.49","108.59.252.0","US","com",31,13,30,22/07/2010 00:00,29/07/2010 00:00
41,"jumptags.com",123455,12061,1,27,90448507,42696048,2030603,05/02/2008 00:00,10/08/2013 00:00,"107.20.165.139","107.20.165.0","US","com",55,43,27,18/04/2009 00:00,24/10/2011 00:00
42,"hardrocktriathlon.com",6,-1,1,26,6,1111,597,15/11/2010 00:00,07/08/2013 00:00,"208.109.14.135","208.109.14.0","US","com",0,0,26,25/03/2013 00:00,30/06/2013 00:00
43,"citycare.com",547,-1,1,22,2688,6599,4515,23/01/2008 00:00,01/07/2013 00:00,"184.183.10.116","184.183.10.0","US","com",11,15,22,12/10/2009 00:00,03/11/2009 00:00
44,"mister-wong.com",220402,18406,1,20,319742978,120163748,2383791,11/01/2008 00:00,10/08/2013 00:00,"80.246.52.16","80.246.52.0","DE","com",50,47,20,28/05/2009 00:00,30/07/2009 00:00
45,"1stopmom.com",2287,-1,1,20,225652,29351,22120,15/05/2008 00:00,31/07/2013 00:00,"174.120.119.218","174.120.119.0","US","com",25,21,20,09/03/2011 00:00,17/03/2011 00:00
46,"propeller.com",237948,252881,1,19,172919408,79500370,3370149,09/01/2008 00:00,06/07/2013 00:00,"174.143.139.214","174.143.139.0","US","com",42,42,19,13/06/2009 00:00,08/09/2009 00:00
47,"journey1000words.com",907,592408,1,19,58953,15122,12313,15/03/2008 00:00,10/08/2013 00:00,"209.212.153.128","209.212.153.0","US","com",21,15,19,15/09/2009 00:00,04/07/2013 00:00
48,"nevadacareconnection.org",374,-1,1,19,1157,7825,5522,28/01/2008 00:00,15/07/2013 00:00,"70.32.121.99","70.32.121.0","US","org",11,19,19,08/07/2008 00:00,08/07/2008 00:00
49,"nevadacarauctions.com",16,-1,1,19,63,18693,15900,20/03/2013 00:00,10/08/2013 00:00,"198.1.113.124","198.1.113.0","US","com",10,4,19,03/04/2013 00:00,17/07/2013 00:00
50,"trews.org",563,-1,1,19,6786,17067,12675,29/01/2008 00:00,07/08/2013 00:00,"72.44.94.141","72.44.94.0","US","org",21,13,19,05/11/2008 00:00,05/11/2008 00:00
51,"fitforyounyc.com",0,-1,1,18,0,338048,338048,11/02/2008 00:00,16/07/2013 00:00,"97.74.42.79","97.74.42.0","US","com",0,0,18,21/09/2009 00:00,21/09/2009 00:00
52,"web2siteoutlook.com",1,-1,1,17,1,363909,363909,14/05/2010 00:00,10/08/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",0,0,17,18/06/2010 00:00,18/06/2010 00:00
53,"stressfreehomerepairs.com",30,-1,1,17,37611,14,12,07/07/2013 00:00,30/07/2013 00:00,"74.208.75.44","74.208.75.0","US","com",14,7,17,19/06/2012 00:00,07/07/2013 00:00
54,"itsonitsway.net",64,-1,1,15,186,491428,304699,02/03/2008 00:00,18/01/2013 00:00,"67.220.206.213","67.220.206.0","US","net",5,0,15,09/12/2009 00:00,11/02/2010 00:00
55,"catdrivers.com",282,-1,1,14,4406,7344,6521,31/10/2010 00:00,10/08/2013 00:00,"173.201.216.15","173.201.216.0","US","com",26,10,14,01/12/2012 00:00,01/12/2012 00:00
56,"viewnews.com",6476,-1,1,14,934119,195930,95883,14/01/2008 00:00,10/03/2013 00:00,"12.9.217.39","12.9.217.0","US","com",22,34,14,14/10/2008 00:00,14/10/2008 00:00
