"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
1,"vrgdt.se",209,-1,1,393,1586,50283,22114,27/12/2009 00:00,08/08/2013 00:00,"46.30.211.51","46.30.211.0","DK","se",18,9,393,27/04/2012 00:00,07/06/2012 00:00
2,"sirietta.com",67,-1,1,358,404,3298,2145,06/12/2011 00:00,10/08/2013 00:00,"97.74.215.143","97.74.215.0","US","com",15,6,358,24/02/2013 00:00,24/02/2013 00:00
3,"zhangheng.org",89,-1,1,213,1816,21916,13726,21/06/2008 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","org",7,0,213,15/05/2012 00:00,26/06/2012 00:00
4,"chiisai.org",207,-1,1,195,10060,94028,42581,31/01/2009 00:00,10/08/2013 00:00,"46.30.211.54","46.30.211.0","DK","org",16,4,195,06/05/2012 00:00,06/05/2012 00:00
5,"ech24.org",71,-1,1,182,349,62721,48886,23/02/2013 00:00,10/08/2013 00:00,"66.96.147.104","66.96.147.0","US","org",13,1,182,11/06/2013 00:00,24/06/2013 00:00
6,"yslhandbags.net",214,-1,1,167,2174,8240,4493,31/01/2010 00:00,24/05/2012 00:00,"174.37.86.160","174.37.86.0","US","net",8,3,167,07/05/2012 00:00,07/05/2012 00:00
7,"kaeff.net",27,-1,1,154,238,790,511,01/11/2010 00:00,10/08/2013 00:00,"178.254.62.72","178.254.62.0","DE","net",10,5,154,14/05/2012 00:00,14/05/2012 00:00
8,"tooclothesminded.com",332,-1,1,117,19284,32564,27768,04/01/2011 00:00,02/08/2013 00:00,"173.201.1.1","173.201.1.0","US","com",19,2,117,04/06/2012 00:00,28/05/2013 00:00
9,"brunomars.me",5076,-1,1,91,17762,6582,5478,22/02/2013 00:00,20/07/2013 00:00,"173.201.144.128","173.201.144.0","US","me",22,5,91,15/02/2013 00:00,24/05/2013 00:00
10,"werlv.com",2209,-1,1,63,116592,16831,14064,06/06/2008 00:00,09/08/2013 00:00,"67.72.16.137","67.72.16.0","US","com",30,22,63,16/08/2010 00:00,16/08/2010 00:00
11,"horizonwebmarketing.com",99,-1,1,30,783,271,226,19/02/2013 00:00,31/07/2013 00:00,"174.122.114.254","174.122.114.0","US","com",19,9,30,09/02/2013 00:00,30/06/2013 00:00
12,"diktiergeraete-forum.de",5866,-1,1,23,30357,328179,171529,01/02/2010 00:00,26/07/2013 00:00,"85.13.133.58","85.13.133.0","DE","de",36,12,23,29/03/2013 00:00,26/04/2013 00:00
13,"holawigs.com",2096,-1,1,22,58041,4964,2781,03/10/2010 00:00,10/08/2013 00:00,"70.32.43.228","70.32.43.0","US","com",25,14,22,23/06/2012 00:00,23/06/2012 00:00
14,"medicalmarijuanavirginia.net",49,-1,1,22,514,3954,3692,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,22,24/02/2013 00:00,15/07/2013 00:00
15,"mainstreetchamber.org",424,775412,1,19,12046,185809,71422,09/10/2009 00:00,10/08/2013 00:00,"54.243.97.145","54.243.97.0","US","org",32,16,19,12/03/2011 00:00,12/03/2011 00:00
16,"mainstreetchamber.us",9,-1,1,19,987,404,398,10/11/2009 00:00,04/06/2013 00:00,"72.32.231.8","72.32.231.0","US","us",8,0,19,18/03/2011 00:00,03/04/2011 00:00
17,"medicalmarijuanamississippi.org",63,-1,1,18,518,4119,3715,04/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",15,0,18,02/03/2013 00:00,11/07/2013 00:00
18,"emeraldcitymedia.com",232,-1,1,16,2935,1530,1305,02/04/2008 00:00,10/08/2013 00:00,"74.208.28.98","74.208.28.0","US","com",18,15,16,20/02/2013 00:00,20/02/2013 00:00
19,"eforumz.net",17467,-1,1,14,308043,211151,90200,15/08/2010 00:00,10/08/2013 00:00,"46.252.207.1","46.252.207.0","NL","net",34,4,14,20/04/2013 00:00,20/04/2013 00:00
20,"littlewebdirectory.com",20817,14589,1,12,4525810,2185125,360823,11/01/2008 00:00,10/08/2013 00:00,"208.109.138.201","208.109.138.0","US","com",37,31,12,24/08/2012 00:00,24/08/2012 00:00
21,"humsa.lt",208,-1,1,12,4190,6102,4765,16/10/2010 00:00,10/08/2013 00:00,"79.98.29.5","79.98.29.0","LT","lt",20,20,12,03/05/2013 00:00,21/07/2013 00:00
22,"praxishomepage.de",600,-1,1,12,6681,20800,14226,20/01/2008 00:00,10/08/2013 00:00,"85.236.48.180","85.236.48.0","DE","de",25,19,12,19/06/2012 00:00,18/07/2013 00:00
