"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sushirestaurant.com","FirstLinkDate_sushirestaurant.com","LastLinkDate_sushirestaurant.com"
1,"likeme.net",12682,-1,1,280,8717790,4681186,1674365,02/10/2008 00:00,10/08/2013 00:00,"75.127.15.119","75.127.15.0","US","net",34,21,280,26/09/2009 00:00,26/09/2009 00:00
2,"viselka.com",7749,-1,1,168,1746281,3094229,1299138,02/02/2008 00:00,10/08/2013 00:00,"217.20.171.197","217.20.171.0","UA","com",24,28,168,28/07/2009 00:00,28/07/2009 00:00
3,"locala2z.com",96,-1,1,155,87438,75828,51538,31/01/2008 00:00,10/08/2013 00:00,"66.147.242.192","66.147.242.0","US","com",27,5,155,20/11/2012 00:00,20/11/2012 00:00
4,"artmam.net",19199,-1,1,124,7802452,4309924,1547926,09/01/2008 00:00,09/08/2013 00:00,"176.9.48.43","176.9.48.0","DE","net",34,27,124,28/01/2008 00:00,28/01/2008 00:00
5,"pahok.com",246,-1,1,109,749937,2258842,899512,28/04/2009 00:00,08/08/2013 00:00,"217.20.171.197","217.20.171.0","UA","com",8,8,109,02/09/2009 00:00,02/09/2009 00:00
6,"doesntexist.com",28918,378552,1,104,5957274,5451556,1230829,06/02/2008 00:00,10/08/2013 00:00,"204.13.248.119","204.13.248.0","US","com",34,28,104,22/08/2009 00:00,22/08/2009 00:00
7,"webshotspro.com",5645,256352,1,94,258829,2469269,858408,03/02/2008 00:00,10/08/2013 00:00,"207.58.170.70","207.58.170.0","US","com",36,31,94,12/09/2010 00:00,12/09/2010 00:00
8,"whoaskedyoushow.com",462,-1,1,90,44394,13846,12240,26/05/2008 00:00,10/08/2013 00:00,"184.171.247.137","184.171.247.0","US","com",17,18,90,12/02/2010 00:00,13/02/2010 00:00
9,"cruise.com",14730,72270,1,79,2906637,1578030,586166,11/01/2008 00:00,10/08/2013 00:00,"107.21.1.182","107.21.1.0","US","com",38,47,79,28/03/2008 00:00,28/03/2008 00:00
10,"reviewjournal.com",61959,18833,1,64,45379356,57215594,2545354,09/01/2008 00:00,10/08/2013 00:00,"54.245.88.31","54.245.88.0","US","com",72,62,64,28/05/2010 00:00,31/05/2010 00:00
11,"travelswithagourmet.com",102,-1,1,44,4244,8255,7607,16/06/2012 00:00,10/08/2013 00:00,"66.155.9.238","66.155.9.0","US","com",18,6,44,12/02/2013 00:00,30/06/2013 00:00
12,"elitewebsearch.com",11,-1,1,43,56,36350,28439,28/11/2008 00:00,05/06/2012 00:00,"193.58.251.4","193.58.251.0","RU","com",0,0,43,02/10/2009 00:00,02/10/2009 00:00
13,"lasvegastransportationcompany.com",97,-1,1,40,816,168,130,18/02/2011 00:00,24/07/2013 00:00,"50.116.75.88","50.116.75.0","US","com",13,11,40,13/12/2010 00:00,18/02/2011 00:00
14,"after-hours.me",100,-1,1,39,11428,6872,4766,17/10/2010 00:00,09/02/2013 00:00,"72.29.92.190","72.29.92.0","US","me",10,6,39,05/09/2011 00:00,12/09/2011 00:00
15,"listingsnevada.com",108,-1,1,32,240,178498,34947,18/01/2008 00:00,09/11/2012 00:00,"209.62.111.242","209.62.111.0","US","com",7,1,32,18/01/2008 00:00,24/01/2009 00:00
16,"list-of-domains.org",1990,31540,1,30,68904,21534,17268,06/05/2009 00:00,10/08/2013 00:00,"184.168.160.227","184.168.160.0","US","org",19,8,30,10/06/2011 00:00,10/06/2011 00:00
17,"livelikeme.net",0,-1,1,29,0,201084,201084,10/11/2010 00:00,10/08/2013 00:00,"74.50.3.230","74.50.3.0","US","net",0,0,29,28/12/2010 00:00,28/12/2010 00:00
18,"webnamelist.com",1520,26077,1,28,56926,12704,11320,23/02/2010 00:00,10/08/2013 00:00,"184.168.160.227","184.168.160.0","US","com",19,24,28,12/06/2011 00:00,12/06/2011 00:00
19,"findlocal.com",415,-1,1,26,2993,57631,19791,10/01/2008 00:00,10/08/2013 00:00,"144.142.224.66","144.142.224.0","US","com",11,2,26,29/09/2011 00:00,29/09/2011 00:00
20,"yahoo.com",9691984,4,1,24,21130537108,5252885669,338118655,09/01/2008 00:00,10/08/2013 00:00,"87.248.122.122","87.248.122.0","CH","com",96,97,24,15/07/2008 00:00,15/07/2008 00:00
21,"lasvegashotelhomes.co.cc",2,-1,1,24,2,28,27,22/12/2008 00:00,22/12/2008 00:00,"67.215.66.132","67.215.66.0","US","cc",0,0,24,22/12/2008 00:00,22/12/2008 00:00
22,"jacksonvilleflcitysearch.com",35,-1,1,22,5593,58289,39700,12/03/2008 00:00,10/08/2013 00:00,"50.28.95.240","50.28.95.0","US","com",4,0,22,02/10/2009 00:00,02/10/2009 00:00
23,"listingsus.com",5441,200807,1,21,2636970,4204787,1923059,09/01/2008 00:00,10/08/2013 00:00,"209.62.111.242","209.62.111.0","US","com",35,20,21,03/09/2009 00:00,03/09/2009 00:00
24,"courierpress.com",107876,36071,1,19,3417217,9634700,1062954,10/01/2008 00:00,10/08/2013 00:00,"164.109.40.120","164.109.40.0","US","com",42,40,19,23/09/2010 00:00,23/09/2010 00:00
25,"lasvegas-infos.de",12,-1,1,17,137,87639,49427,16/01/2008 00:00,08/04/2009 00:00,"93.190.64.23","93.190.64.0","DE","de",4,0,17,28/08/2008 00:00,28/08/2008 00:00
