"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cosmeticdental.com","FirstLinkDate_cosmeticdental.com","LastLinkDate_cosmeticdental.com"
1,"lasvegasorthodontics.com",16,-1,1,72,34,73,70,19/02/2008 00:00,15/01/2009 00:00,"174.122.114.250","174.122.114.0","US","com",0,0,72,22/02/2008 00:00,01/05/2013 00:00
2,"sedationdentistrylasvegas.com",24,-1,1,72,53,54,42,07/02/2008 00:00,,"174.122.114.250","174.122.114.0","US","com",4,0,72,13/02/2008 00:00,30/04/2013 00:00
3,"gurati.com",55,-1,1,9,307,5745,5351,13/01/2008 00:00,21/01/2009 00:00,"67.215.66.132","67.215.66.0","US","com",6,5,9,23/01/2008 00:00,23/01/2008 00:00
4,"1stbadbreathtips.info",411,-1,1,7,87414,301444,131569,11/11/2011 00:00,10/08/2013 00:00,"205.251.129.242","205.251.129.0","US","info",20,11,7,21/02/2013 00:00,18/05/2013 00:00
5,"dental-insurance-plans-guide.com",83,-1,1,7,756,2506,2504,02/01/2013 00:00,01/07/2013 00:00,"66.132.223.240","66.132.223.0","US","com",7,3,7,18/02/2008 00:00,08/10/2012 00:00
6,"a-z-cityinfo.com",0,-1,1,6,0,372059,372059,01/04/2008 00:00,10/08/2013 00:00,"70.86.108.170","70.86.108.0","US","com",0,0,6,04/01/2009 00:00,22/04/2010 00:00
7,"gainfe.com",10,-1,1,6,132,5430,4268,09/01/2008 00:00,19/11/2008 00:00,"67.215.66.132","67.215.66.0","US","com",0,0,6,26/05/2008 00:00,26/05/2008 00:00
8,"goodhealthbenefits.com",302,-1,1,5,1073,188890,91999,09/01/2008 00:00,28/07/2013 00:00,"173.212.56.236","173.212.56.0","US","com",13,17,5,23/01/2008 00:00,23/01/2008 00:00
9,"uscitylists.com",2,-1,1,5,2,1010453,1010452,09/01/2008 00:00,10/08/2013 00:00,"70.86.108.170","70.86.108.0","US","com",0,0,5,10/03/2009 00:00,03/08/2009 00:00
10,"dentistsonthe.net",136,-1,1,5,1048,160,138,01/07/2010 00:00,10/08/2013 00:00,"69.89.18.30","69.89.18.0","US","net",7,5,5,30/08/2008 00:00,30/08/2008 00:00
11,"nvdha.org",448,-1,1,4,3461,135735,51259,23/01/2008 00:00,10/08/2013 00:00,"208.131.155.233","208.131.155.0","US","org",21,27,4,15/02/2013 00:00,19/02/2013 00:00
12,"botoxlab.com",9,-1,1,4,82,10703,3659,05/03/2008 00:00,27/01/2013 00:00,"94.136.40.180","94.136.40.0","UK","com",0,0,4,05/05/2008 00:00,05/05/2008 00:00
