"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_roofingcompany.com","FirstLinkDate_roofingcompany.com","LastLinkDate_roofingcompany.com"
1,"accessvegas.com",6764,565373,1,5,1345704,17281007,1263972,09/01/2008 00:00,10/08/2013 00:00,"50.28.50.43","50.28.50.0","US","com",50,19,5,25/07/2011 00:00,25/07/2011 00:00
2,"reviewjournal.com",61959,18833,1,4,45379356,57215594,2545354,09/01/2008 00:00,10/08/2013 00:00,"54.245.88.31","54.245.88.0","US","com",72,62,4,16/06/2011 00:00,23/07/2011 00:00
3,"ustile.com",2100,-1,1,4,13966,3115,878,16/01/2008 00:00,10/08/2013 00:00,"184.106.55.36","184.106.55.0","US","com",34,23,4,28/10/2009 00:00,06/08/2013 00:00
4,"prestigeroofinginc.net",4,-1,1,4,6,5,4,15/07/2013 00:00,28/07/2013 00:00,"66.35.40.166","66.35.40.0","US","net",0,0,4,08/01/2011 00:00,15/05/2012 00:00
5,"angieslist.com",123977,2364,1,3,34008029,13002797,1411896,09/01/2008 00:00,10/08/2013 00:00,"2.20.177.5","2.20.177.0","EU","com",68,68,3,29/06/2010 00:00,29/06/2010 00:00
6,"thinklocal.com",9765,45554,1,2,603141,5806935,1593187,10/01/2008 00:00,10/08/2013 00:00,"205.178.190.95","205.178.190.0","US","com",38,21,2,27/02/2013 00:00,27/02/2013 00:00
7,"tahoedailytribune.com",35791,156313,1,2,5034862,24068843,1763261,10/01/2008 00:00,10/08/2013 00:00,"64.94.90.94","64.94.90.0","US","com",44,47,2,19/06/2013 00:00,19/06/2013 00:00
8,"rwbugbee.com",7,-1,1,2,10,14,14,15/07/2013 00:00,27/07/2013 00:00,"66.96.147.109","66.96.147.0","US","com",9,0,2,28/02/2013 00:00,16/07/2013 00:00
9,"planetpages.com",9,-1,1,2,14,1549586,1549586,09/01/2008 00:00,10/07/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",0,0,2,10/12/2009 00:00,10/12/2009 00:00
10,"myfavoritebuilder.com",680,-1,1,2,79037,7381,7340,29/12/2008 00:00,10/08/2013 00:00,"69.89.22.137","69.89.22.0","US","com",28,18,2,18/12/2011 00:00,05/04/2013 00:00
11,"nnbw.biz",1405,-1,1,2,79479,1286249,306993,09/01/2008 00:00,10/08/2013 00:00,"65.164.25.29","65.164.25.0","US","biz",12,22,2,15/03/2013 00:00,15/03/2013 00:00
12,"angiehicks.com",8,-1,1,2,18,40244,40243,28/02/2013 00:00,10/08/2013 00:00,"107.21.255.133","107.21.255.0","US","com",7,16,2,07/03/2013 00:00,10/03/2013 00:00
